MetaOTU	Species	Type	Sample	RelativeAbundance
MS00052	Bacteroides thetaiotaomicron	Newborn	X240	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X256	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X258	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X263	0.0361424607639186
MS00052	Bacteroides thetaiotaomicron	Newborn	X265	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X268	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X26	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X272	0.000926795439765461
MS00052	Bacteroides thetaiotaomicron	Newborn	X274	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X275	0.0166526678032521
MS00052	Bacteroides thetaiotaomicron	Newborn	X276	0.0131355899425765
MS00052	Bacteroides thetaiotaomicron	Newborn	X281	0.110306635045657
MS00052	Bacteroides thetaiotaomicron	Newborn	X282	0.000617422513949186
MS00052	Bacteroides thetaiotaomicron	Newborn	X332	0.115089810768919
MS00052	Bacteroides thetaiotaomicron	Newborn	X335	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X338	0.00153797215603069
MS00052	Bacteroides thetaiotaomicron	Newborn	X341	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X343	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X350	0.00954433991303628
MS00052	Bacteroides thetaiotaomicron	Newborn	X367	0.0434082996661964
MS00052	Bacteroides thetaiotaomicron	Newborn	X377	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X383	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X385	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X397	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X39	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X42	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X45	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X51	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X521	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X526	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X527	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X536	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X544	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X549	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X560	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X565	0.00123515608500239
MS00052	Bacteroides thetaiotaomicron	Newborn	X567	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X572	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X582	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X585	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X587	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X589	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X590	0.00822793004872174
MS00052	Bacteroides thetaiotaomicron	Newborn	X591	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X599	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X608	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X615	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X624	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X633	0.000676702932253523
MS00052	Bacteroides thetaiotaomicron	Newborn	X637	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X78	0
MS00052	Bacteroides thetaiotaomicron	Newborn	X87	0
MS00061	Bifidobacterium adolescentis	Newborn	X105	9.50310323461626e-05
MS00061	Bifidobacterium adolescentis	Newborn	X10	0
MS00061	Bifidobacterium adolescentis	Newborn	X128	0
MS00061	Bifidobacterium adolescentis	Newborn	X12	0
MS00061	Bifidobacterium adolescentis	Newborn	X130	0
MS00061	Bifidobacterium adolescentis	Newborn	X133	0
MS00061	Bifidobacterium adolescentis	Newborn	X137	0
MS00061	Bifidobacterium adolescentis	Newborn	X150	0
MS00061	Bifidobacterium adolescentis	Newborn	X157	0
MS00061	Bifidobacterium adolescentis	Newborn	X172	0.0710150953676144
MS00061	Bifidobacterium adolescentis	Newborn	X180	0
MS00061	Bifidobacterium adolescentis	Newborn	X181	0
MS00061	Bifidobacterium adolescentis	Newborn	X184	0.0224394060335708
MS00061	Bifidobacterium adolescentis	Newborn	X201	0.00714683756047574
MS00061	Bifidobacterium adolescentis	Newborn	X229	0.103732627541839
MS00061	Bifidobacterium adolescentis	Newborn	X238	0
MS00061	Bifidobacterium adolescentis	Newborn	X240	0
MS00061	Bifidobacterium adolescentis	Newborn	X256	0
MS00061	Bifidobacterium adolescentis	Newborn	X258	0
MS00061	Bifidobacterium adolescentis	Newborn	X263	0.0508363500509563
MS00061	Bifidobacterium adolescentis	Newborn	X265	0.000217238415512435
MS00061	Bifidobacterium adolescentis	Newborn	X268	0.0255076703373703
MS00061	Bifidobacterium adolescentis	Newborn	X26	0
MS00061	Bifidobacterium adolescentis	Newborn	X272	0.000668467557062256
MS00061	Bifidobacterium adolescentis	Newborn	X274	0
MS00061	Bifidobacterium adolescentis	Newborn	X275	0
MS00061	Bifidobacterium adolescentis	Newborn	X276	0
MS00061	Bifidobacterium adolescentis	Newborn	X281	0
MS00061	Bifidobacterium adolescentis	Newborn	X282	0
MS00061	Bifidobacterium adolescentis	Newborn	X332	0.0333987588905502
MS00061	Bifidobacterium adolescentis	Newborn	X335	0
MS00061	Bifidobacterium adolescentis	Newborn	X338	0
MS00061	Bifidobacterium adolescentis	Newborn	X341	0
MS00061	Bifidobacterium adolescentis	Newborn	X343	0
MS00061	Bifidobacterium adolescentis	Newborn	X350	0
MS00061	Bifidobacterium adolescentis	Newborn	X367	0
MS00061	Bifidobacterium adolescentis	Newborn	X377	0.155648204524992
MS00061	Bifidobacterium adolescentis	Newborn	X383	0
MS00061	Bifidobacterium adolescentis	Newborn	X385	0
MS00061	Bifidobacterium adolescentis	Newborn	X397	0.184440114057357
MS00061	Bifidobacterium adolescentis	Newborn	X39	0.0128477313861593
MS00061	Bifidobacterium adolescentis	Newborn	X42	0
MS00061	Bifidobacterium adolescentis	Newborn	X45	0.0229556660175225
MS00061	Bifidobacterium adolescentis	Newborn	X51	0
MS00061	Bifidobacterium adolescentis	Newborn	X521	0
MS00061	Bifidobacterium adolescentis	Newborn	X526	0
MS00061	Bifidobacterium adolescentis	Newborn	X527	0
MS00061	Bifidobacterium adolescentis	Newborn	X536	0
MS00061	Bifidobacterium adolescentis	Newborn	X544	0
MS00061	Bifidobacterium adolescentis	Newborn	X549	0
MS00061	Bifidobacterium adolescentis	Newborn	X560	0
MS00061	Bifidobacterium adolescentis	Newborn	X565	0.0249366525048559
MS00061	Bifidobacterium adolescentis	Newborn	X567	0
MS00061	Bifidobacterium adolescentis	Newborn	X572	0
MS00061	Bifidobacterium adolescentis	Newborn	X582	0
MS00061	Bifidobacterium adolescentis	Newborn	X585	0
MS00061	Bifidobacterium adolescentis	Newborn	X587	0
MS00061	Bifidobacterium adolescentis	Newborn	X589	0
MS00061	Bifidobacterium adolescentis	Newborn	X590	0.00147981661914644
MS00061	Bifidobacterium adolescentis	Newborn	X591	0.421480140464098
MS00061	Bifidobacterium adolescentis	Newborn	X599	0.0538786515480589
MS00061	Bifidobacterium adolescentis	Newborn	X608	0
MS00061	Bifidobacterium adolescentis	Newborn	X615	0
MS00061	Bifidobacterium adolescentis	Newborn	X624	0
MS00061	Bifidobacterium adolescentis	Newborn	X633	0.00218597693186101
MS00061	Bifidobacterium adolescentis	Newborn	X637	0.0651174076454518
MS00061	Bifidobacterium adolescentis	Newborn	X78	0.0407264940357506
MS00061	Bifidobacterium adolescentis	Newborn	X87	0
MS00056	Bifidobacterium breve	Newborn	X105	0.890698924976526
MS00056	Bifidobacterium breve	Newborn	X10	0
MS00056	Bifidobacterium breve	Newborn	X128	0
MS00056	Bifidobacterium breve	Newborn	X12	0
MS00056	Bifidobacterium breve	Newborn	X130	0
MS00056	Bifidobacterium breve	Newborn	X133	0
MS00056	Bifidobacterium breve	Newborn	X137	0
MS00056	Bifidobacterium breve	Newborn	X150	0
MS00056	Bifidobacterium breve	Newborn	X157	0
MS00056	Bifidobacterium breve	Newborn	X172	0
MS00056	Bifidobacterium breve	Newborn	X180	0
MS00056	Bifidobacterium breve	Newborn	X181	0
MS00056	Bifidobacterium breve	Newborn	X184	0
MS00056	Bifidobacterium breve	Newborn	X201	0
MS00056	Bifidobacterium breve	Newborn	X229	0
MS00056	Bifidobacterium breve	Newborn	X238	0
MS00056	Bifidobacterium breve	Newborn	X240	0
MS00056	Bifidobacterium breve	Newborn	X256	0.000205236392860842
MS00056	Bifidobacterium breve	Newborn	X258	0
MS00056	Bifidobacterium breve	Newborn	X263	0
MS00056	Bifidobacterium breve	Newborn	X265	0
MS00056	Bifidobacterium breve	Newborn	X268	0
MS00056	Bifidobacterium breve	Newborn	X26	0
MS00056	Bifidobacterium breve	Newborn	X272	0
MS00056	Bifidobacterium breve	Newborn	X274	0
MS00056	Bifidobacterium breve	Newborn	X275	0
MS00056	Bifidobacterium breve	Newborn	X276	0
MS00056	Bifidobacterium breve	Newborn	X281	0
MS00056	Bifidobacterium breve	Newborn	X282	0
MS00056	Bifidobacterium breve	Newborn	X332	0
MS00056	Bifidobacterium breve	Newborn	X335	0
MS00056	Bifidobacterium breve	Newborn	X338	0
MS00056	Bifidobacterium breve	Newborn	X341	0.000116378170314583
MS00056	Bifidobacterium breve	Newborn	X343	0
MS00056	Bifidobacterium breve	Newborn	X350	0.0552877434484618
MS00056	Bifidobacterium breve	Newborn	X367	0.0368899029442663
MS00056	Bifidobacterium breve	Newborn	X377	0.0168916051024232
MS00056	Bifidobacterium breve	Newborn	X383	0
MS00056	Bifidobacterium breve	Newborn	X385	0
MS00056	Bifidobacterium breve	Newborn	X397	0.704196424837991
MS00056	Bifidobacterium breve	Newborn	X39	0
MS00056	Bifidobacterium breve	Newborn	X42	0
MS00056	Bifidobacterium breve	Newborn	X45	0
MS00056	Bifidobacterium breve	Newborn	X51	0
MS00056	Bifidobacterium breve	Newborn	X521	0
MS00056	Bifidobacterium breve	Newborn	X526	0
MS00056	Bifidobacterium breve	Newborn	X527	0
MS00056	Bifidobacterium breve	Newborn	X536	0
MS00056	Bifidobacterium breve	Newborn	X544	0
MS00056	Bifidobacterium breve	Newborn	X549	0
MS00056	Bifidobacterium breve	Newborn	X560	0
MS00056	Bifidobacterium breve	Newborn	X565	0
MS00056	Bifidobacterium breve	Newborn	X567	0
MS00056	Bifidobacterium breve	Newborn	X572	0.000413197053053194
MS00056	Bifidobacterium breve	Newborn	X582	0
MS00056	Bifidobacterium breve	Newborn	X585	0
MS00056	Bifidobacterium breve	Newborn	X587	0
MS00056	Bifidobacterium breve	Newborn	X589	0.734432562833638
MS00056	Bifidobacterium breve	Newborn	X590	0
MS00056	Bifidobacterium breve	Newborn	X591	0
MS00056	Bifidobacterium breve	Newborn	X599	0
MS00056	Bifidobacterium breve	Newborn	X608	0
MS00056	Bifidobacterium breve	Newborn	X615	0
MS00056	Bifidobacterium breve	Newborn	X624	0
MS00056	Bifidobacterium breve	Newborn	X633	0
MS00056	Bifidobacterium breve	Newborn	X637	0.000494079076953477
MS00056	Bifidobacterium breve	Newborn	X78	0.00284288105078477
MS00056	Bifidobacterium breve	Newborn	X87	0
MS00059	Bifidobacterium longum	Newborn	X105	0.0333107676539597
MS00059	Bifidobacterium longum	Newborn	X10	0
MS00059	Bifidobacterium longum	Newborn	X128	0.0842018159657608
MS00059	Bifidobacterium longum	Newborn	X12	0
MS00059	Bifidobacterium longum	Newborn	X130	0
MS00059	Bifidobacterium longum	Newborn	X133	0
MS00059	Bifidobacterium longum	Newborn	X137	0.000199913086466962
MS00059	Bifidobacterium longum	Newborn	X150	0
MS00059	Bifidobacterium longum	Newborn	X157	0
MS00059	Bifidobacterium longum	Newborn	X172	0.0128636914814217
MS00059	Bifidobacterium longum	Newborn	X180	0
MS00059	Bifidobacterium longum	Newborn	X181	0
MS00059	Bifidobacterium longum	Newborn	X184	0.0892789099307532
MS00059	Bifidobacterium longum	Newborn	X201	0.000236262678389303
MS00059	Bifidobacterium longum	Newborn	X229	0.00865202864626305
MS00059	Bifidobacterium longum	Newborn	X238	0
MS00059	Bifidobacterium longum	Newborn	X240	0
MS00059	Bifidobacterium longum	Newborn	X256	0.587745511000526
MS00059	Bifidobacterium longum	Newborn	X258	7.21160796357887e-05
MS00059	Bifidobacterium longum	Newborn	X263	0.00405384668810733
MS00059	Bifidobacterium longum	Newborn	X265	0
MS00059	Bifidobacterium longum	Newborn	X268	0.0848266165753417
MS00059	Bifidobacterium longum	Newborn	X26	0
MS00059	Bifidobacterium longum	Newborn	X272	0.00537837488842194
MS00059	Bifidobacterium longum	Newborn	X274	0.000376764459987202
MS00059	Bifidobacterium longum	Newborn	X275	0.00490635886568946
MS00059	Bifidobacterium longum	Newborn	X276	0.0477096358400915
