Time,Bacteroides_theta,Bacteroides_fragilis,Bifido_longum,Bifido_breve,Bifido_adolescentis,Eubacterium_hallii,Faecalibacterium_prausnitzii,Roseburia_intestinalis,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
0,7.94134874579209e-06,8.06657978529469e-05,6.45232374148939e-05,3.59186608218717e-05,1.91287402723905e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.0337685572750222,0.343154086485832,0.274689160130027,0.15286345242919,0.0813918757509063,0,0,0,4.07560907242862,1.70111667141049,0.88851038759885,0.8877762147827,0.853332580025135,0.856897412915236,0.855824363886888,0.852182237454269,0,0
0.2,0.0367779766293748,0.373913666991376,0.299566357306617,0.166648304993611,0.088710769110819,0,0,0,4.29896410000672,2.52096901289306,1.01660315983615,1.01605759713379,0.934222228879073,0.942579151114447,0.940109083582235,0.931328132344395,0,0
0.3,0.0378258079189418,0.384828176417663,0.30868162992119,0.171636085661826,0.091335117703455,0,0,0,4.26448581792875,3.29405672845316,1.11842513085068,1.11911032590662,0.968793835776753,0.983903487772485,0.979508625675785,0.963193771946949,0,0
0.4,0.0383775545683521,0.390771170962195,0.313911865608251,0.17444454426255,0.0927906587988871,0,0,0,4.1649986242562,4.0264634153394,1.22713143621988,1.22998832049898,0.993496993809133,1.01695374618935,1.01023784239244,0.984361620575209,0,0
0.5,0.0387305133621709,0.39475614100446,0.317657050047883,0.176413320061307,0.0937915000165242,0,0,0,4.03978492258049,4.72057739682626,1.34821482258664,1.35413480549938,1.01555837771532,1.04875726474683,1.03940456807793,1.00212933526381,0,0
0.6,0.0389843691409291,0.397790722961912,0.320715325947375,0.177989562496914,0.0945762850531472,0,0,0,3.90215497386945,5.37798247375581,1.48260097722111,1.49244407422306,1.03727594212251,1.08145844877076,1.06921944855732,1.01885522957356,0,0
0.7,0.0391819826722762,0.400306020611691,0.323425053554464,0.179364014147621,0.0952470385940954,0,0,0,3.7579540043932,5.99989309654697,1.62998130952172,1.64458733798641,1.05954066278447,1.11581992824531,1.10050320952585,1.03548711591454,0,0
0.8,0.0393448246483371,0.402516298859894,0.325952090110614,0.18063105815254,0.0958544321771695,0,0,0,3.61022006055482,6.58728398207447,1.78964014069245,1.80983687323435,1.08272142154818,1.15210027223974,1.13356642358364,1.05244878330614,0,0
0.9,0.0394848342508657,0.404539330317113,0.328385823388552,0.181842248886358,0.0964263083465881,0,0,0,3.46074256264319,7.14094890687604,1.96072320999918,1.98733262819186,1.10696008838818,1.190345288546,1.16850185196666,1.06993550993104,0,0
1,0.0396091754320333,0.406444641742789,0.330777611770396,0.183027758714963,0.0969791126655503,0,0,0,3.31068706418863,7.66153634529798,2.14233925729249,2.17618240368087,1.13228909704342,1.2305030927772,1.20530018017771,1.08803176032095,0,0
