ID	Sample	Time	strain	RA
30309	177	0	Bbv	0.000196317121672978
30309	177	0	Blg	0.00171441709715778
30309	177	0	Bad	0.00554499382591658
30309	177	0	Rint	0.00253102428033694
30309	177	0	Bfr	0.00385733555006153
30309	177	0	Ehal	0.0117527316125216
30309	177	0	Fpr	0.124901481224261
30309	178	1	Bbv	3.02543047193402e-05
30309	178	1	Blg	0.000260691258998315
30309	178	1	Bad	0.000299589650780323
30309	178	1	Rint	0.00102655737275075
30309	178	1	Bfr	0.00941229428333387
30309	178	1	Ehal	0.00492457241663174
30309	178	1	Fpr	0.0095685361569916
30309	179	3	Bbv	2.31764232888806e-05
30309	179	3	Blg	0.000195228151589456
30309	179	3	Bad	0.000137508524163008
30309	179	3	Rint	0.00302378513654641
30309	179	3	Bfr	0.0145492580555232
30309	179	3	Ehal	0.022530731088463
30309	179	3	Fpr	0.0199099500001882
30309	180	7	Bbv	2.210161615858e-06
30309	180	7	Blg	3.18263272683552e-05
30309	180	7	Bad	6.36526545367103e-06
30309	180	7	Rint	0.00284058811516533
30309	180	7	Bfr	0.00866180018547676
30309	180	7	Ehal	0.0147343518347436
30309	180	7	Fpr	0.0799352687865948
30309	181	14	Bbv	6.55379103574335e-07
30309	181	14	Blg	2.2657391866427e-05
30309	181	14	Bad	5.52390958726939e-06
30309	181	14	Rint	0.00477630928126353
30309	181	14	Bfr	0.00794263298180359
30309	181	14	Ehal	0.0177769709332814
30309	181	14	Fpr	0.0273873564825092
30310	182	0	Bbv	0
30310	182	0	Blg	1.6065758347855e-05
30310	182	0	Bad	1.19893719013843e-07
30310	182	0	Rint	0.0433208378101148
30310	182	0	Bfr	0.00217241424167133
30310	182	0	Ehal	0.0183385835792004
30310	182	0	Fpr	0.0376685083740667
30310	183	1	Bbv	0
30310	183	1	Blg	1.24577582396846e-05
30310	183	1	Bad	1.26474702940961e-07
30310	183	1	Rint	0.0278876719984818
30310	183	1	Bfr	0.00245715052873698
30310	183	1	Ehal	0.0259404042346513
30310	183	1	Fpr	0.0273992266957238
30310	184	3	Bbv	0
30310	184	3	Blg	6.20017682167641e-06
30310	184	3	Bad	6.13878893235288e-08
30310	184	3	Rint	0.00986079804992775
30310	184	3	Bfr	0.00453490754799704
30310	184	3	Ehal	0.0127678215488435
30310	184	3	Fpr	0.00232457520501406
30310	185	7	Bbv	0
30310	185	7	Blg	1.02165299421623e-05
30310	185	7	Bad	1.34428025554768e-07
30310	185	7	Rint	0.00420598406355757
30310	185	7	Bfr	0.00318607863367355
30310	185	7	Ehal	0.0168260198886264
30310	185	7	Fpr	0.0169845105307555
30310	186	14	Bbv	0
30310	186	14	Blg	1.35036427544117e-05
30310	186	14	Bad	0
30310	186	14	Rint	0.00970951055035694
30310	186	14	Bfr	0.00378291178592068
30310	186	14	Ehal	0.0235275207174909
30310	186	14	Fpr	0.0291658460648656
30312	187	0	Bbv	0.000601941737263952
30312	187	0	Blg	0.00471667911642301
30312	187	0	Bad	0.0179847746647193
30312	187	0	Rint	0.00456717585904646
30312	187	0	Bfr	0.00111118720770282
30312	187	0	Ehal	0.0252628650579139
30312	187	0	Fpr	0.092231405134184
30312	188	1	Bbv	0.000421871830156259
30312	188	1	Blg	0.00331670451129106
30312	188	1	Bad	0.0133942106279438
30312	188	1	Rint	0.00782227610362502
30312	188	1	Bfr	0.00146301044413865
30312	188	1	Ehal	0.0148255440215678
30312	188	1	Fpr	0.0758025952694627
30312	189	3	Bbv	0.000600018474708079
30312	189	3	Blg	0.00469348593624224
30312	189	3	Bad	0.0186770197838641
30312	189	3	Rint	0.00294066387907894
30312	189	3	Bfr	0.00210857394820438
30312	189	3	Ehal	0.01399654805085
30312	189	3	Fpr	0.0650559087440429
30312	190	7	Bbv	9.31658053351541e-05
30312	190	7	Blg	0.000386918601229016
30312	190	7	Bad	7.37600946483648e-05
30312	190	7	Rint	0.00837940426859417
30312	190	7	Bfr	0.00198499267181504
30312	190	7	Ehal	0.0106060026369694
30312	190	7	Fpr	0.0436453747086384
30312	191	14	Bbv	2.66308100285135e-05
30312	191	14	Blg	0.000155794878180746
30312	191	14	Bad	6.30973896145965e-06
30312	191	14	Rint	0.00649105116632277
30312	191	14	Bfr	0.00151832733274065
30312	191	14	Ehal	0.0104544951369079
30312	191	14	Fpr	0.0373330552099375
30314	192	0	Bbv	0.000314028458592796
30314	192	0	Blg	0.00307136303471918
30314	192	0	Bad	0.0960423503693547
30314	192	0	Rint	0.0100825276509753
30314	192	0	Bfr	0.00336534281485066
30314	192	0	Ehal	0.0768986301014774
30314	192	0	Fpr	0.0277464934388843
30314	193	3	Bbv	8.10158218362994e-05
30314	193	3	Blg	0.000809866794543439
30314	193	3	Bad	0.0397021969130349
30314	193	3	Rint	0.00549108046401083
30314	193	3	Bfr	0.0033700979052893
30314	193	3	Ehal	0.117275647736795
30314	193	3	Fpr	0.00556677780114025
30314	194	7	Bbv	6.48984087774607e-05
30314	194	7	Blg	0.000666207378903237
30314	194	7	Bad	1.93843884945796e-05
30314	194	7	Rint	0.0105277530743247
30314	194	7	Bfr	0.00353345968112681
30314	194	7	Ehal	0.154801827371542
30314	194	7	Fpr	0.0165739141140614
30314	195	14	Bbv	2.79184303232897e-05
30314	195	14	Blg	0.000257105952722132
30314	195	14	Bad	3.63224476144841e-06
30314	195	14	Rint	0.00516483838932308
30314	195	14	Bfr	0.00405686129611028
30314	195	14	Ehal	0.139794346574836
30314	195	14	Fpr	0.0119826330270473
30313	196	0	Bbv	4.39937370875015e-05
30313	196	0	Blg	0.000393519489090855
30313	196	0	Bad	0.00534883038160796
30313	196	0	Rint	0.00776992245161115
30313	196	0	Bfr	0.0027134259637928
30313	196	0	Ehal	0.0174059874039646
30313	196	0	Fpr	0.0944507826351153
30313	197	1	Bbv	1.90388835170522e-05
30313	197	1	Blg	0.000189777144133829
30313	197	1	Bad	0.0015542304628559
30313	197	1	Rint	0.00211033407658892
30313	197	1	Bfr	0.00340903060886655
30313	197	1	Ehal	0.0201972734177885
30313	197	1	Fpr	0.0489387236974766
30313	198	3	Bbv	7.33109624299487e-05
30313	198	3	Blg	0.000706644998853331
30313	198	3	Bad	0.0109129055496478
30313	198	3	Rint	0.00220256782705754
30313	198	3	Bfr	0.00239587809113738
30313	198	3	Ehal	0.0414388635157647
30313	198	3	Fpr	0.0856257821383054
30313	199	7	Bbv	1.53890711125898e-06
30313	199	7	Blg	3.99089910853163e-05
30313	199	7	Bad	3.89856468185609e-05
30313	199	7	Rint	0.00433530652003139
30313	199	7	Bfr	0.00249897996106975
30313	199	7	Ehal	0.0114873260227038
30313	199	7	Fpr	0.0529056772027429
30313	200	14	Bbv	1.74025827347062e-07
30313	200	14	Blg	2.16662155047093e-05
30313	200	14	Bad	9.57142050408843e-07
30313	200	14	Rint	0.00445897676120011
30313	200	14	Bfr	0.00321825962512923
