Time,Bacteroides_theta,Bacteroides_fragilis,Bifido_longum,Bifido_breve,Bifido_adolescentis,Eubacterium_hallii,Faecalibacterium_prausnitzii,Roseburia_intestinalis,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
0,3.97067437289604e-07,4.03328989264735e-06,3.2261618707447e-06,1.79593304109358e-06,9.56437013619523e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,2.24725166608968e-05,0.000228343479792257,0.000182755088337414,0.000101709804182643,5.41576345239943e-05,0,0,0,0.00268946006671903,0.00100331856052608,0.000575753491039501,0.000575359684402282,0.000557478565433804,0.000559332214973808,0.00055877512022344,0.00055688523356567,0,0
0.2,4.45574968374889e-05,0.000452969069116139,0.000362849259258245,0.000201865221773981,0.000107461892991369,0,0,0,0.00519836999413193,0.00286400914768215,0.00121160532867521,0.00121101577640278,0.00112098710515429,0.00113018152052564,0.0011274656643567,0.00111780398337693,0,0
0.3,6.66579054786626e-05,0.000678096438062114,0.000543833852853105,0.000302407777723202,0.000160931573478382,0,0,0,0.00751911641091498,0.0055519748016673,0.00194437444659067,0.00194554188140957,0.00169568160076475,0.00172079554671172,0.00171349330124073,0.00168637074108892,0,0
0.4,8.8778085196192e-05,0.000903873981149092,0.000725967109341304,0.000403457375916629,0.000214617814487326,0,0,0,0.00965316210845298,0.00900110201816285,0.0028040052169709,0.00281038342527758,0.00228574703442996,0.00233778003378598,0.00232288571056352,0.0022654765052721,0,0
0.5,0.000110921368710836,0.00113042895622558,0.000909472316396015,0.000505121117931352,0.00026856605048359,0,0,0,0.0116022788890333,0.0131487616125764,0.00381690457823122,0.00383336318458596,0.0028948653268407,0.00298688345100745,0.00296096435433959,0.00285763534232822,0,0
0.6,0.000133090389007013,0.00135787192320752,0.00109454459787098,0.000607495888843815,0.000322817258949432,0,0,0,0.013368600572723,0.0179351373078604,0.00500633622365341,0.00503910716437453,0.00352627357168179,0.00367311489322585,0.00363244311531152,0.00346504161258312,0,0
0.7,0.000155287289789753,0.00158629991101014,0.00128135592084079,0.000710670227217672,0.000377408871779649,0,0,0,0.0149546686705474,0.0233026478562592,0.00639274161779783,0.00644938899759945,0.00418281063264786,0.00440083823646454,0.00434150633199998,0.00408961435656356,0,0
0.8,0.00017751387013483,0.00181579871961348,0.00147005884862074,0.00081472569576945,0.000432375455483907,0,0,0,0.0163634659680513,0.0291954781873322,0.00799400599847198,0.0080834134050791,0.00486695523715295,0.00517384873530667,0.00509187162882056,0.00473303235938304,0,0
0.9,0.000199771684582162,0.00204644461322191,0.00166078937879867,0.000919737889434269,0.000487749225699462,0,0,0,0.0175984408680751,0.0355591997597977,0.00982568085890604,0.00995805164319994,0.00558085752535373,0.00599543605092551,0.00588684099089372,0.00539676217294576,0,0
