Time,Bacteroides_theta,Bacteroides_fragilis,Bifido_longum,Bifido_breve,Bifido_adolescentis,Eubacterium_hallii,Faecalibacterium_prausnitzii,Roseburia_intestinalis,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
0,0.0397067437289604,0.403328989264735,0.32261618707447,0.179593304109358,0.0956437013619523,0,0,0,5,1,1,1,1,1,1,1,0,0
0.1,0.0399111036261753,0.405583475575398,0.324617096123802,0.180651499410568,0.0961886577423802,0,0,0,4.86096570318682,1.8556324690312,1.04072998686999,1.03785590419903,1.00564250607905,1.00929532278452,1.00822548999921,1.0050504157638,0,0
0.2,0.0401251144474875,0.408018300212945,0.326873198791732,0.181827113273008,0.0967865683626047,0,0,0,4.71608945825438,2.67501539895898,1.10534440400041,1.10133472476743,1.0146307766015,1.02418295892223,1.02146838628772,1.01262554813467,0,0
0.3,0.0403473986415051,0.410615485658041,0.329360666356451,0.183110671638345,0.0974328129644175,0,0,0,4.56557696078464,3.45939694904289,1.19262155157852,1.18927675665018,1.02677865134688,1.04431253698585,1.03944736669595,1.02254591056754,0,0
0.4,0.0405766867926566,0.413358578180662,0.332058432829494,0.184493686035608,0.0981232418361584,0,0,0,4.40968293751397,4.20964394897181,1.30136275309479,1.3003827165382,1.0418992984154,1.06935252911982,1.06189602522166,1.03464687425662,0,0
0.5,0.0408118093104838,0.416232448210273,0.334947683323499,0.185968493709663,0.098854112143563,0,0,0,4.24871069202675,4.92630005288317,1.43038816239289,1.43327251177075,1.05980632346971,1.09898767500674,1.08856063105672,1.04877607021091,0,0
0.6,0.0410516890145839,0.419223123871447,0.338011451222591,0.187528125937459,0.0996220356101434,0,0,0,4.08301130223896,5.60963400065167,1.578532600895,1.58652512753207,1.08031443547993,1.13291669235982,1.11919813397176,1.06479125078939,0,0
0.7,0.0412953344203904,0.422317650367668,0.341234296278477,0.189166198030803,0.100423934959268,0,0,0,3.9129824817015,6.259680301861,1.74464188424316,1.75870560662889,1.10323984272705,1.17085032340422,1.15357444739141,1.08255854012852,0,0
0.8,0.0415418335974757,0.42550396987885,0.344602043745581,0.190876816244152,0.101257007193018,0,0,0,3.73906710562967,6.8762741888468,1.92756980319756,1.94838306965768,1.1284004837675,1.21250970311338,1.19146299213566,1.10195100477404,0,0
0.9,0.0417903485117393,0.42877081801333,0.348101570171269,0.192654498022761,0.102118692242558,0,0,0,3.5617513907581,7.45908232675598,2.12617578156734,2.15414245306119,1.1556161581328,1.25762501076203,1.23264346632855,1.12284748450172,0,0
