Species	B	4M	12M
B.theta	0.007941348745792085	0.023850842402683977	0.013169732568160666
B.fragilis	0.08066579785294692	0.06811329465474567	0.027540492141012635
B.longum	0.06452323741489391	0.18858246536321424	0.011142509791175578
B.breve	0.035918660821871666	0.06458464370878572	0.0038392982475484215
B.ado	0.019128740272390456	0.013025046010592433	0.003057103776570997
E.hallii	3.2703223483955146e-5	5.366019247501603e-7	0.0028285719141883632
F.pr	4.314020656235015e-4	8.224565289527584e-6	0.01697034182093896
R.intestinalis	1.034428575400062e-6	9.114431184235617e-6	0.016867722808120312
