Time;Bacteroides_theta;Bacteroides_fragilis;Bifido_longum;Bifido_breve;Bifido_adolescentis;Eubacterium_hallii;Faecalibacterium_prausnitzii;Roseburia_intestinalis
Newborn_RA_exp;0.794134874579209;8.06657978529469;6.45232374148939;3.59186608218717;1.91287402723905;0.00327032234839551;0.0431402065623501;0.000103442857540006
Forth month AA;0.0496266590949376;0.121438854492333;0.437742333737827;0.115533265644724;0.0252353229996088;0;0;0
Forth month RA;2.37133752690333;5.80277854954772;20.9168789928202;5.52058859946454;1.20583310510627;0;0;0
Forth month RA_exp;2.3850842402684;6.81132946547457;18.8582465363214;6.45846437087857;1.30250460105924;5.3660192475016e-05;0.000822456528952758;0.000911443118423562
Twelvth month AA;1.0612811157343;2.39073118947199;0.5238644769928;0.519182237237896;0.130799196326574;0.419885636368106;1.3425294507638;1.32737424145653
Twelvth month RA;1.31243628636306;2.95650447132663;0.64783848364837;0.642048178643711;0.161753195210062;0.519252756995363;1.66024283346865;1.64150110111575
Twelvth month RA_exp;1.31697325681607;2.75404921410126;1.11425097911756;0.383929824754842;0.3057103776571;0.282857191418836;1.6970341820939;1.68677228081203
