Time,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
0,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0
0.1,0.480655867506151,0.0732916416840044,0.0719890297865922,0.0761318636650241,0.0756407995485631,0.0719856575959836,0.072140343659051,0.0719848618652233,0,0
0.2,0.462246639917671,0.0964242783518414,0.0929188664884288,0.10219082308112,0.0999153544372723,0.0929021142420509,0.0932137574862824,0.0928983641395724,0,0
0.3,0.444727161545129,0.119180011699133,0.112846265978085,0.128585374165328,0.12297779305339,0.112802745419053,0.11327778647221,0.112793318089144,0,0
0.4,0.428054443484193,0.141404714378554,0.131823454886069,0.155493156313138,0.144944163489947,0.131737890115544,0.132385236482963,0.131719776214639,0,0
0.5,0.412187560832115,0.162990244085518,0.149898883148504,0.182950084460026,0.16590384149143,0.149755132682024,0.150584998628656,0.149725222546025,0,0
0.6,0.397087554767607,0.18386221205903,0.167117768099634,0.210907935080947,0.185927315955808,0.166899526339246,0.167922637482324,0.16685473491918,0,0
0.7,0.382717339267723,0.203971318603335,0.183522502286098,0.239271806885977,0.205071601819384,0.183213777916605,0.184440827389084,0.183151127733821,0,0
0.8,0.369041612242309,0.223287076210854,0.199152968469185,0.26792440635312,0.22338404922016,0.198738405371877,0.200179686581847,0.198655080217978,0,0
0.9,0.356026770875056,0.241793182331474,0.214046789350887,0.296741569854893,0.240905044015234,0.213511875323967,0.21517704010452,0.213405253372193,0,0
1,0.343640830969289,0.259484060597996,0.228239530170586,0.325601908523638,0.257669929494385,0.227570725345726,0.229468631721596,0.227438397709162,0,0
1.1,0.331853350105742,0.276362246355332,0.241764866511176,0.354392504476793,0.273710374777767,0.240949674256141,0.243088298402306,0.240789453265832,0,0
1.2,0.320635354428594,0.292436392371409,0.254654725917766,0.383011965934321,0.289055347081398,0.25368172269524,0.256068116781899,0.253491642960796,0,0
1.3,0.309959268884662,0.307719736460274,0.266939409452502,0.411371735779282,0.303731799054146,0.265798245636882,0.2684385282525,0.265576560103884,0,0
1.4,0.299798850748984,0.3222289172768,0.278647697620677,0.4393962684026,0.317765150748225,0.277329078069335,0.280228447478525,0.277074250683837,0,0
1.5,0.290129126277875,0.335983055318688,0.289806943929453,0.467022497676867,0.331179623629344,0.288302594778393,0.291465357848364,0.288013290933303,0,0
1.6,0.280926330338036,0.349003037831011,0.300443158510131,0.494198885882587,0.34399846830406,0.29874578495861,0.302175396470842,0.298420860579338,0,0
1.7,0.272167848867424,0.361310961785467,0.310581083638901,0.520884250698226,0.356244116353057,0.308684322227138,0.312383430679168,0.308322812120777,0,0
1.8,0.26383216403034,0.372929700310744,0.320244262557663,0.547046502551165,0.367938278485347,0.31814263050377,0.322113127537141,0.317743736423546,0,0
1.9,0.25589880193562,0.383882566154612,0.329455102677969,0.572661379299951,0.37910200526829,0.327143946138041,0.331387017499212,0.32670702488658,0,0
2,0.248348282793017,0.394193051827481,0.338234934014426,0.597711233595035,0.389755722317887,0.335710376601666,0.340226553121668,0.335234928400844,0,0
2.1,0.241162073388753,0.403884630608559,0.346604063516418,0.622183906320004,0.399919248614923,0.343862956016498,0.348652163531847,0.343348613300057,0,0
2.2,0.234322541766971,0.412980606008158,0.354581825832538,0.646071704420994,0.40961180423381,0.351621697750767,0.356683305218464,0.351068214482218,0,0
2.3,0.227812914009361,0.421503999869857,0.362186630939416,0.669370491187836,0.418852012009006,0.359005644286728,0.364338509596482,0.358412885864956,0,0
2.4,0.221617233010651,0.429477471277203,0.369436008987369,0.692078890232984,0.427657896356703,0.366032914539156,0.371635427715644,0.365400848324229,0,0
2.5,0.215720319153003,0.436923259955712,0.376346652653526,0.714197600005445,0.436046881498812,0.372720748784809,0.378590872416367,0.372049435254339,0,0
2.6,0.210107732787527,0.443863149045153,0.382934457244478,0.73572881294672,0.444035790615215,0.37908555134705,0.385220858185427,0.378375135877194,0,0
2.7,0.204765738436347,0.450318443042995,0.389214558751679,0.756675731819577,0.451640846914319,0.385142931166502,0.391540638923418,0.384393636419979,0,0
2.8,0.199681270633692,0.456309957449921,0.395201370031527,0.777042174941323,0.458877677213338,0.390907740377303,0.397564743803555,0.390119859272549,0,0
2.9,0.194841901329597,0.46185801722939,0.400908615256323,0.796832261762075,0.465761318322805,0.396394110998808,0.403307011375276,0.395568000228766,0,0
3,0.190235808784733,0.466982461661195,0.406349362760871,0.816050170255268,0.472306226308085,0.401615489844107,0.408780622044703,0.400751563909661,0,0
3.1,0.18585196377531,0.471703076645485,0.411536057386481,0.834700068949146,0.478526302024047,0.406584671911329,0.413998129820377,0.405683397538125,0,0
3.2,0.181680945813689,0.476045105014369,0.416480581631525,0.852789430572778,0.484435323646049,0.411313838856163,0.418971523356029,0.410375725968588,0,0
3.3,0.177713992021439,0.480042229366239,0.421194369944407,0.870337975480219,0.490048074503313,0.415814609938709,0.423712350673826,0.414840191140211,0,0
3.4,0.173942633608022,0.483733023701902,0.425688500667969,0.887383474158334,0.495381113633394,0.420098086751293,0.42823182099044,0.419087888095691,0,0
3.5,0.170358662102919,0.487158069695939,0.429973745505499,0.903982595239565,0.500452948344794,0.424174886053626,0.432540856998431,0.423129395128215,0,0
3.6,0.166953909846398,0.490357607477053,0.434060589651411,0.920208723969906,0.505283827203975,0.428055164273881,0.436650113792063,0.426974799552609,0,0
3.69999999999999,0.163719388049958,0.493365581935104,0.437959212664064,0.936146056899556,0.509895047526523,0.431748631567677,0.440569954415296,0.430633718218381,0,0
