Time,Bacteroides_theta,Bacteroides_fragilis,Bifido_longum,Bifido_breve,Bifido_adolescentis,Eubacterium_hallii,Faecalibacterium_prausnitzii,Roseburia_intestinalis,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
64.7999999999985,0.0469421486050765,2.40011713957755,4.95034457034181,1.81628952532921,0.434630039018528,0,0,0,2.22044604925031e-16,0.417949080905901,47.3346441377162,50.861511410663,2.6458601063335,44.1095623576617,48.2166247515027,15.0619910071658,0,0
64.8999999999985,0.0470146070499467,2.40394844509009,4.96164958558804,1.81894436109811,0.434844415992847,0,0,0,2.22044604925031e-16,0.414305329807014,47.3362009441441,50.9537678524206,2.64659273506938,44.2007060644831,48.2967274021152,15.0843033289198,0,0
64.9999999999985,0.0470874380103449,2.40778869089102,4.97298905023768,1.82160452410409,0.435060249032806,0,0,0,2.22044604925031e-16,0.409661986515002,47.3379806027875,51.0454811899699,2.6472953348767,44.2920131360542,48.3768626262845,15.1066401319004,0,0
65.0999999999984,0.0471602112517003,2.41161809964458,4.98435312704113,1.82425273794141,0.435270677287574,0,0,0,2.22044604925031e-16,0.404275397905741,47.3391603721588,51.1392346005515,2.6479885994401,44.3835080729009,48.4570448040808,15.1289177800878,0,0
65.1999999999984,0.0472323634455264,2.41541013878494,4.99572826626124,1.82686583799863,0.435466410794342,0,0,0,2.22044604925031e-16,0.398456819745439,47.3386401509589,51.2385464950383,2.64870504043028,44.4752258489862,48.5373006452402,15.151025421422,0,0
65.2999999999984,0.0473038171230879,2.41916070934808,5.0071041419859,1.82944068934257,0.435647148320611,0,0,0,2.22044604925031e-16,0.392205218920816,47.3364335852153,51.3428029572044,2.64942578266683,44.5670615499736,48.617495872181,15.1729331964919,0,0
65.3999999999984,0.0473744916542568,2.42286560163012,5.01847013506668,1.83197407425406,0.435812554066416,0,0,0,2.22044604925031e-16,0.385592623148493,47.3325506936863,51.4514091086685,2.65013258575665,44.6589100525741,48.697497034837,15.1946111727345,0,0
65.4999999999984,0.0474443095672818,2.42652078186979,5.0298158530143,1.83446292146073,0.435962296468668,0,0,0,2.22044604925031e-16,0.378772654694427,47.3270013304714,51.5638100191178,2.65080902450531,44.7506713342225,48.7771786798825,15.2160313268948,0,0
65.5999999999984,0.0475135558914051,2.43013952502581,5.04113613780922,1.83691948392004,0.436102555420646,0,0,0,2.22044604925031e-16,0.371789575068402,47.3205824188755,51.6766592618668,2.65140771288991,44.842176418443,48.856342238255,15.2372334222767,0,0
65.6999999999984,0.0475826804206103,2.43374334011604,5.05243218055641,1.83936309584978,0.436242127999495,0,0,0,2.22044604925031e-16,0.364703883905809,47.3143820018001,51.7857939149094,2.65187588928021,44.9332748977425,48.9348168509028,15.2582953184906,0,0
65.7999999999984,0.0476516673495047,2.43733168415966,5.06370281594656,1.84179333584571,0.436380861554051,0,0,0,2.22044604925031e-16,0.357864829429234,47.3083838975802,51.8912868265829,2.65221582430845,45.0239694602601,49.0126088922171,15.2792171939017,0,0
65.8999999999984,0.0477205253459961,2.44090509099029,5.07494878855767,1.84421065228768,0.436518750007874,0,0,0,2.22044604925031e-16,0.3515855388182,47.3025838194872,51.99329478713,2.6524344997695,45.1142826609801,49.0897520053147,15.3000066451112,0,0
65.9999999999984,0.0477892854253985,2.44446507341294,5.08617260497875,1.84661628387569,0.436655922165467,0,0,0,2.22044604925031e-16,0.346123152977338,47.2969881130708,52.0920495560989,2.65254303669322,45.2042549056121,49.1663042099459,15.3206779030949,0,0
66.0999999999984,0.0478579975780731,2.44801397318869,5.0973782932674,1.84901213680657,0.436792621809725,0,0,0,2.22044604925031e-16,0.341669662004624,47.291611991589,52.1878444511866,2.65255589756728,45.2939414757848,49.2423436696847,15.3412506912045,0,0
66.1999999999984,0.047926726770372,2.45155478473354,5.10857111255743,1.85140064034757,0.436929183742693,0,0,0,2.22044604925031e-16,0.338350085425938,47.2864775435554,52.2810188821007,2.65248998981525,45.3834090932054,49.3179638270962,15.3617489130684,0,0
66.2999999999984,0.0479955487554591,2.45509097093882,5.11975724405623,1.85378459617358,0.437066008637922,0,0,0,2.22044604925031e-16,0.336225505999787,47.2816117041844,52.3719424763073,2.65236375840804,45.4727323745637,49.3932684055544,15.3821993036779,0,0
66.3999999999984,0.0480645459901512,2.45862628370451,5.13094348533991,1.8561670319101,0.437203538605853,0,0,0,2.22044604925031e-16,0.33529911790639,47.2770443182173,52.4609998943609,2.65219632608182,45.5619904156504,49.4683666143831,15.4026301341294,0,0
66.4999999999984,0.0481338038479836,2.46216459734577,5.14213696249192,1.85855106559581,0.437342234659256,0,0,0,2.22044604925031e-16,0.335523959467613,47.2728063735787,52.5485770162257,2.65200671756801,45.6512636561691,49.543368770143,15.4230700275667,0,0
66.5999999999984,0.0482034072405568,2.46570975973521,5.15334486901026,1.86093978501956,0.43748255674958,0,0,0,2.22044604925031e-16,0.336811392199985,47.268928450186,52.63504887402,2.65181318800915,45.7406311119423,49.6183824548342,15.4435469192415,0,0
66.6999999999984,0.0482734377030659,2.46926546365313,5.16457423625889,1.86333614389754,0.437624946682725,0,0,0,2.22044604925031e-16,0.339039683797545,47.2654394032678,52.7207694894774,2.65163266412462,45.8301680145455,49.6935092655033,15.4640871757709,0,0
66.7999999999983,0.0483439709607832,2.47283513913794,5.17583173728632,1.8657428754674,0.437769813977065,0,0,0,2.22044604925031e-16,0.342062271772124,47.2623652834056,52.8060636266375,2.65148029866406,45.9199438660461,49.7688421637982,15.4847148762274,0,0
66.8999999999983,0.0484150749670442,2.47642186649165,5.187123523821,1.868162423142,0.437917524567575,0,0,0,2.22044604925031e-16,0.345715443528803,47.2597284842748,52.8912203750169,2.65136913338058,46.0100208951362,49.844463403645,15.5054512494237,0,0
66.9999999999983,0.0484868083866142,2.48002830886339,5.19845509495485,1.87059688727051,0.438068392163683,0,0,0,2.22044604925031e-16,0.349825281581819,47.2575471021476,52.976488421794,2.65130986246516,46.1004528877338,49.9204429964755,15.5263142566026,0,0
67.0999999999983,0.0485592194885353,2.48365666289709,5.20983119525368,1.87304798670423,0.438222672016425,0,0,0,2.22044604925031e-16,0.354213800861291,47.2558344874143,53.0620728421974,2.6513106865478,46.1912843577925,49.9968376630688,15.5473183058717,0,0
67.1999999999983,0.0486323454076242,2.4873086257016,5.22125573963419,1.87551703368708,0.438380556828549,0,0,0,2.22044604925031e-16,0.358704257766843,47.254598966726,53.1481332266341,2.65137724655415,46.2825500208423,50.073690216574,15.5684740834458,0,0
67.2999999999983,0.0487062117321484,2.49098537631681,5.23273176220425,1.87800492053043,0.438542174539004,0,0,0,2.22044604925031e-16,0.363125644929221,47.2538437141439,53.2347829646152,2.65151262657938,46.3742745323017,50.1510293207064,15.5897884865631,0,0
67.3999999999983,0.0487808323757153,2.49468756985893,5.24426138628519,1.88051211654895,0.438707587723213,0,0,0,2.22044604925031e-16,0.36731640699862,47.2535667503746,53.3220895144594,2.65171741525902,46.4664724538614,50.2288695690265,15.6112646434331,0,0
67.4999999999983,0.0488562096932334,2.49841534259605,5.25584581295825,1.88303867379783,0.438876794367424,0,0,0,2.22044604925031e-16,0.371127425266736,47.2537610504036,53.4100755007137,2.65198981570342,46.559148413504,50.3072118345885,15.6329020064727,0,0
67.5999999999983,0.048932334803362,2.50216832630688,5.26748532565433,1.8855842402425,0.439049729795588,0,0,0,2.22044604925031e-16,0.374424325533318,47.2544147413437,53.4987204959129,2.65232579479582,46.6522974275,50.3860438433476,15.6546965061966,0,0
67.6999999999983,0.049009188082774,2.50594567039309,5.27917930850564,1.888148079095,0.43922626954829,0,0,0,2.22044604925031e-16,0.377089166480234,47.2555113739151,53.5879633582246,2.6527192634491,46.7459053556564,50.465340929077,15.6766407543056,0,0
67.7999999999983,0.0490867398005379,2.50974607033851,5.29092627637991,1.89072909315729,0.439406233033818,0,0,0,2.22044604925031e-16,0.379021566399374,47.2570302525687,53.6777050107656,2.65316228022116,46.8399494639898,50.5450669318371,15.6987242856893,0,0
67.8999999999983,0.0491649508638415,2.51356780122926,5.30272391470874,1.89332585311622,0.439589387790518,0,0,0,2.22044604925031e-16,0.380139325429192,47.2589468107733,53.7678115614441,2.65364527146936,46.9343990717125,50.6251752060988,15.7209338301665,0,0
67.9999999999983,0.0492437736490303,2.51740875516411,5.31456912739643,1.89593662883336,0.439775454216962,0,0,0,2.22044604925031e-16,0.380378599122369,47.2612330193917,53.8581176738772,2.6541572619654,47.0292162619112,50.7056097083492,15.7432536058011,0,0
68.0999999999983,0.0493231528944862,2.52126648149223,5.32645809125124,1.89855942276512,0.439964110641812,0,0,0,2.22044604925031e-16,0.379693677567745,47.2638578173536,53.9484301102274,2.65468611058447,47.1243566375298,50.786306137376,15.765665626556,0,0
68.1999999999983,0.0494030266342214,2.52513822891614,5.33838631551731,1.90119200473419,0.440154998618897,0,0,0,2.22044604925031e-16,0.37805642261429,47.2667875550013,54.0385313758143,2.65521874632755,47.219770106265,50.8671931034509,15.7881500178677,0,0
68.2999999999983,0.0494833271532206,2.52902098859129,5.35034870520583,1.90383194735234,0.44034772834497,0,0,0,2.22044604925031e-16,0.37545541406054,47.2699864415502,54.1281834032496,2.65574140053558,47.3154016797552,50.9481933053451,15.8106853344641,0,0
68.3999999999983,0.0495639819475629,2.53291153744197,5.36233962703003,1.90647666146875,0.440541884108268,0,0,0,2.22044604925031e-16,0.371894853967537,47.273416989086,54.2171312208274,2.6562398317152,47.411192274046,51.0292246965622,15.8332488754113,0,0
68.4999999999983,0.0496449146742161,2.53680648099722,5.37435297684489,1.90912343108801,0.440737029685615,0,0,0,2.22044604925031e-16,0.367393276470154,47.2770404464338,54.3051065561748,2.65669953992218,47.5070794997633,51.1102016244155,15.8558169919795,0,0
68.5999999999982,0.0497257192197582,2.54068443335985,5.38637699798714,1.91175356649134,0.440926121517984,0,0,0,2.22044604925031e-16,0.362196759047746,47.2800582831639,54.3948299498003,2.65714134762092,47.6030835856873,51.1911220166047,15.8782979153396,0,0
68.6999999999982,0.0498058568207142,2.54451651196791,5.39839505369121,1.91434187162182,0.441099605419438,0,0,0,2.22044604925031e-16,0.356600396248524,47.2814015305275,54.4899871479157,2.65759755624993,47.6992303629944,51.2719869659814,15.90056910077,0,0
68.7999999999982,0.0498852410550837,2.54829845030053,5.41039581103848,1.91688515250531,0.441257197582475,0,0,0,2.22044604925031e-16,0.350611906874847,47.2810802358337,54.5899310857733,2.65804926626582,47.7954071334318,51.3526559677806,15.9225993512886,0,0
68.8999999999982,0.0499637831027153,2.55202590443693,5.42236769743536,1.91938016020967,0.441398585430807,0,0,0,2.22044604925031e-16,0.344310244234948,47.279101249392,54.6940381363624,2.65847837946817,47.8915016182949,51.4329903087844,15.9443576431617,0,0
68.9999999999982,0.050041398393753,2.55569475074509,5.4342994545399,1.92182382784029,0.441523466596411,0,0,0,2.22044604925031e-16,0.337853238713513,47.275471707584,54.8017299603645,2.65886880609663,47.9874075468748,51.5128605652298,15.9658152058824,0,0
69.0999999999982,0.050118348767321,2.55932002313878,5.4461874754722,1.92423001219834,0.441638271412595,0,0,0,2.22044604925031e-16,0.33130046581786,47.2709639225958,54.9095260378735,2.65917422546282,48.0829574128785,51.5920852835146,15.9870201555056,0,0
69.1999999999982,0.0501950610216822,2.56292588892293,5.45803611800959,1.92662037990884,0.441752139691366,0,0,0,2.22044604925031e-16,0.324726835913753,47.266635553459,55.0131128891177,2.65934362099977,48.1780106877145,51.6705240055082,16.0080633670809,0,0
69.2999999999982,0.0502715257401233,2.56651207374869,5.4698446515066,1.92899473237286,0.441864961287695,0,0,0,2.22044604925031e-16,0.31846974017111,47.2624732309377,55.1125958112255,2.65938058033821,48.2725746934166,51.7481899445773,16.0289467518221,0,0
69.3999999999982,0.050347758996168,2.57007940957787,5.48161436269786,1.93135375934098,0.441976770470655,0,0,0,2.22044604925031e-16,0.312827122625627,47.2584754877158,55.2081666871899,2.65929345646654,48.366677425309,51.8251245014494,16.0496799226292,0,0
69.4999999999982,0.0504237998733288,2.5736297221574,5.49334838077335,1.93369894740062,0.442087732488423,0,0,0,2.22044604925031e-16,0.30803868816573,47.254651386538,55.3000937181363,2.65909472735081,48.460365239942,51.9013939469703,16.0702792906402,0,0
69.5999999999982,0.0504997067166089,2.57716566618111,5.5050514062606,1.9360324454285,0.442198122360571,0,0,0,2.22044604925031e-16,0.304277905508882,47.2510186581281,55.3887066716701,2.65880013430523,48.553699570212,51.9770847572416,16.090766800234,0,0
69.6999999999982,0.0505755527826774,2.58069053574118,5.51672939081634,1.93835691000947,0.442308300082783,0,0,0,2.22044604925031e-16,0.301651287080206,47.2476016315506,55.4743802037671,2.6584277322555,48.6467532043681,52.0522983612315,16.1111685052872,0,0
69.7999999999982,0.0506514217507557,2.58420806934429,5.5283892016419,1.94067534677817,0.442418685084846,0,0,0,2.22044604925031e-16,0.300202365647399,47.2444291522945,55.5575169903869,2.65799694265875,48.7396065012585,52.1271458257605,16.1315131277251,0,0
69.8999999999982,0.0507274034012278,2.58772226238794,5.54003829363563,1.94299095828426,0.442529731782588,0,0,0,2.22044604925031e-16,0.299918489844654,47.2415326153004,55.6385317985543,2.65752766809068,48.8323437884047,52.2017428238398,16.1518306918154,0,0
69.9999999999982,0.0508035896537108,2.59123719520901,5.55168440419457,1.94530700499081,0.442641907336098,0,0,0,2.22044604925031e-16,0.300739102411417,47.2389441898719,55.7178371744673,2.657039503971,48.9250500945946,52.2762050978515,16.1721512916793,0,0
70.0999999999982,0.0508800710726271,2.59475688131788,5.56333527943999,1.94762668311173,0.442755672209228,0,0,0,2.22044604925031e-16,0.302564575766336,47.2366952772345,55.795831100026,2.65655106587701,49.0178082993319,52.350644530909,16.1925040230852,0,0
70.1999999999982,0.0509569338892379,2.59828513794325,5.57499843620502,1.94995302094063,0.442871463768955,0,0,0,2.22044604925031e-16,0.305264985259795,47.2348152162527,55.8728867425726,2.65607943895477,49.1106967325239,52.4251658705043,16.2129160918517,0,0
70.2999999999981,0.0510342575487759,2.60182547930138,5.58668096103829,1.95228879392027,0.442989682927186,0,0,0,2.22044604925031e-16,0.308688423447378,47.2333302358483,55.9493442722277,2.65563974787288,49.2037872246424,52.4998641016884,16.2334120984236,0,0
70.3999999999981,0.0511121127649712,2.60538103187471,5.59838934543056,1.95463645778376,0.443110683679318,0,0,0,2.22044604925031e-16,0.312668617920812,47.2322626418281,56.0255046273947,2.65524484058922,49.2971435863279,52.5748224369911,16.2540134899585,0,0
70.4999999999981,0.0511905600480898,2.60895447028419,5.61012935519783,1.95699809853491,0.44323476530812,0,0,0,2.22044604925031e-16,0.317031726227293,47.2316302194306,56.1016250558504,2.65490507613051,49.3908204838053,52.6501108725377,16.2747381663513,0,0
70.5999999999981,0.05126964866364,2.61254797194353,5.62190593123652,1.95937539772275,0.44336216697877,0,0,0,2.22044604925031e-16,0.321602256744495,47.2314458296078,56.1779162339345,2.65462820500038,49.4848626699959,52.7257852507563,16.2956002240965,0,0
70.6999999999981,0.0513494159748892,2.61616318849954,5.63372311853398,1.96176961132624,0.443493064436872,0,0,0,2.22044604925031e-16,0.32620811389475,47.2317171758829,56.2545407602298,2.65441933026851,49.5793045288916,52.8018867669337,16.3166098209742,0,0
70.7999999999981,0.0514298871216132,2.61980123201944,5.64558402024254,1.96418156054081,0.443627568525461,0,0,0,2.22044604925031e-16,0.330684797321498,47.2324467188216,56.331612825853,2.6542809375006,49.6741698911383,52.8784418575953,16.3377731447069,0,0
70.8999999999981,0.0515110749888534,2.62346267393362,5.65749077371021,1.96661163280717,0.443765725251991,0,0,0,2.22044604925031e-16,0.334878803274456,47.2336317161951,56.4091988760717,2.65421298221443,49.7694720808003,52.9554624117555,16.3590924695394,0,0
70.9999999999981,0.0515929804220294,2.62714755484273,5.66944454553943,1.96905979151394,0.443907517157017,0,0,0,2.22044604925031e-16,0.33865028661467,47.235264368418,56.4873190940016,2.65421302431337,49.8652141562071,53.0329462504466,16.380566285876,0,0
71.0999999999981,0.0516755926479606,2.63085540342797,5.68144554296874,1.97152559291951,0.444052865759276,0,0,0,2.22044604925031e-16,0.341875046542156,47.2373320505686,56.5659495543424,2.65427639983186,49.9613893111039,53.1108778248694,16.4021894894407,0,0
71.1999999999981,0.0517588898647924,2.63458526284415,5.6934930391102,1.97400820896055,0.444201634875021,0,0,0,2.22044604925031e-16,0.344445900457356,47.2398176140694,56.6450249120435,2.65439642124879,50.0579814057137,53.1892290885431,16.4239536178072,0,0
71.2999999999981,0.0518428399672706,2.63833572311766,5.70558540980791,1.97650645473703,0.444353634631521,0,0,0,2.22044604925031e-16,0.346273509711708,47.2426997428238,56.7244415066387,2.65456459853421,50.1549656005798,53.2679605036831,16.4458471234666,0,0
71.3999999999981,0.0519274013770947,2.64210495820939,5.71772018009968,1.97901881958099,0.444508626014796,0,0,0,2.22044604925031e-16,0.347286719306229,47.2459533502202,56.804060777332,2.65477087396373,50.2523090690722,53.3470221465507,16.4678556738395,0,0
71.4999999999981,0.0520125239511656,2.64589076653151,5.72989407845942,1.98154350072665,0.444666325809861,0,0,0,2.22044604925031e-16,0.347432471426889,47.2495500048977,56.8837128966456,2.65500386455056,50.3499717671729,53.4263548806204,16.4899624697654,0,0
71.5999999999981,0.0520981499433721,2.64969061382831,5.7421030971706,1.98407843870163,0.44482641180779,0,0,0,2.22044604925031e-16,0.346675350376764,47.2534583745178,56.963200541597,2.65525110670263,50.4479072415991,53.5058915701072,16.5121485750104,0,0
71.6999999999981,0.0521842149981616,2.65350167744291,5.75434255733379,1.9866213536534,0.444988528168104,0,0,0,2.22044604925031e-16,0.344996814120553,47.2576446780148,57.042302731129,2.65549929841381,50.5460634594961,53.585558309697,16.5343932502415,0,0
71.7999999999981,0.0522706491565298,2.65732089109598,5.76660717714517,1.98916978191251,0.445152290837555,0,0,0,2.22044604925031e-16,0.342394165328672,47.2620731379178,57.1207786670798,2.65573453494883,50.6443836448706,53.6652756492977,16.5566742857229,0,0
71.8999999999981,0.0523573778572703,2.66114498940083,5.77889114220324,1.99172111217603,0.445317292937558,0,0,0,2.22044604925031e-16,0.338879312460563,47.2667064253717,57.1983715235861,2.65594253458746,50.7428071086834,53.7449597953117,16.5789683277224,0,0
71.9999999999981,0.0524443229183918,2.66497055143209,5.79118817671062,1.99427262077137,0.445483110042758,0,0,0,2.22044604925031e-16,0.334477368991662,47.2715060914469,57.2748121366875,2.65610885156031,50.841270061115,53.8245237723979,16.6012511942805,0,0
72.099999999998,0.0525314034855668,2.66879404275489,5.8034916145404,1.9968215055342,0.445649305282637,0,0,0,2.22044604925031e-16,0.329225136287695,47.2764329792424,57.3498225522365,2.65621907384228,50.9397063959998,53.9038785319865,16.6234981766168,0,0
72.199999999998,0.0526185369363453,2.67261185540788,5.81579446923595,1.99936491790466,0.445815434207063,0,0,0,2.22044604925031e-16,0.323169512793577,47.2814476121555,57.4231193961877,2.65625900397333,51.0380484388275,53.9829339959704,16.6456843230265,0,0
72.299999999998,0.0527056397306748,2.67642034541782,5.82808950211083,2.00189999291436,0.445981049365306,0,0,0,2.22044604925031e-16,0.316365869080799,47.286510554535,57.4944170370606,2.6562148215519,51.1362276510492,54.0616000260731,16.6677847026781,0,0
72.399999999998,0.0527926282000253,2.6802158675057,5.84036928771405,2.00442387680305,0.446145704556592,0,0,0,2.22044604925031e-16,0.308876424861539,47.291582741747,57.5634305159285,2.65607322649541,51.234175284732,54.1397873113804,16.689774647255,0,0
72.499999999998,0.0528794192691242,2.6839948067246,5.85262627602577,2.00693375206773,0.446308958718642,0,0,0,2.22044604925031e-16,0.300768660332954,47.296625777467,57.6298782247199,2.65582156258239,51.3318229828706,54.2174081684547,16.7116299689019,0,0
72.599999999998,0.0529659311059619,2.6877536068464,5.86485285085002,2.00942685980896,0.446470379428994,0,0,0,2.22044604925031e-16,0.292113790193177,47.3016021967712,57.6934843189377,2.6554479211813,51.4291033219043,54.2943772503092,16.7333271534345,0,0
72.699999999998,0.0530520836973197,2.69148879538847,5.87704138397398,2.01190051929813,0.446629546002141,0,0,0,2.22044604925031e-16,0.282985324429582,47.3064756943116,57.7539808560737,2.65494122542813,51.5259502941828,54.3706121622993,16.7548435282506,0,0
72.799999999998,0.0531377993485847,2.69519700524067,5.88918428476594,2.01435214474433,0.446786052173505,0,0,0,2.22044604925031e-16,0.273457735599414,47.3112113175369,57.8111096559756,2.65429129543568,51.6222997292751,54.4460339846761,16.7761574048367,0,0
72.899999999998,0.0532230031080275,2.69887499291711,5.90127404498582,2.0167792592911,0.446939508369003,0,0,0,2.22044604925031e-16,0.263605247898223,47.3157756255353,57.8646238841395,2.65348889539872,51.7180896541018,54.5205677031158,16.7972481961874,0,0
72.999999999998,0.0533076231170154,2.70251965351491,5.91330327868025,2.01917950631888,0.447089543566144,0,0,0,2.22044604925031e-16,0.253500758946531,47.3201368146286,57.9142893632794,2.65252576369783,51.8132605928756,54.5941425499695,16.8180965098464,0,0
73.099999999998,0.0533915908887851,2.70612803251279,5.92526475712764,2.02155065816976,0.447235806759257,0,0,0,2.22044604925031e-16,0.243214901025361,47.3242648123297,57.9598856224885,2.65139462729994,51.9077558087506,54.6666922602454,16.8386842176234,0,0
73.199999999998,0.0534748415193998,2.70969733458534,5.93715143888512,2.02389062244516,0.447377968047281,0,0,0,2.22044604925031e-16,0.232815244556441,47.3281313416793,58.0012066967844,2.6500892019022,52.001521489877,54.7381552474234,16.858994503343,0,0
73.299999999998,0.0535573138353465,2.71322492964393,5.94895649506713,2.0261974460548,0.447515719367595,0,0,0,2.22044604925031e-16,0.22236564304163,47.3317099582965,58.0380616927657,2.64860417937064,52.0945068832407,54.8084747050923,16.8790118902267,0,0
73.399999999998,0.0536389504828786,2.71670835634133,5.96067333005312,2.02846931721644,0.447648774903366,0,0,0,2.22044604925031e-16,0.211925715519904,47.3349760627189,58.0702751384583,2.64693520408507,52.186664380214,54.8775986410857,16.8987222497034,0,0
73.499999999998,0.0537196979646885,2.72014532329617,5.97229559787919,2.03070456562008,0.447776871195016,0,0,0,2.22044604925031e-16,0.201550459920906,47.3379068907636,58.0976871371828,2.64507883982148,52.2779495581563,54.9454798512721,16.9181127935814,0,0
73.599999999998,0.053799506633551,2.72353370850121,5.98381721498134,2.03290166111867,0.447899766996336,0,0,0,2.22044604925031e-16,0.191290438633242,47.3404814863855,58.1201533647083,2.64303252984246,52.3683211863186,55.0120758458115,16.9371720531025,0,0
73.699999999998,0.0538783309788494,2.72687157188895,5.99523239454651,2.03505922275335,0.448017244422555,0,0,0,2.22044604925031e-16,0.181203402050218,47.3426807931631,58.1375461897,2.64079462828176,52.4577414664946,55.0773491312347,16.9558899565524,0,0
73.799999999998,0.0539561305983296,2.73015719491047,6.00653572240151,2.03717605091784,0.448129114301554,0,0,0,2.22044604925031e-16,0.171350998845744,47.3444880029306,58.1497579118021,2.63836457015774,52.5461767497561,55.1412682109811,16.9742581042648,0,0
73.8999999999979,0.0540328700359419,2.73338907164397,6.01772215296886,2.03925112024853,0.448235215651263,0,0,0,2.22044604925031e-16,0.161781490846355,47.345888450446,58.1566998672304,2.63574279023399,52.633597372698,55.2038072762146,16.9922696827203,0,0
