MetaOTU	Species	Type	Sample	RelativeAbundance
MS00045;MS00054	Bacteroides fragilis	12 Months	X105	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X10	0.020919896816571
MS00045;MS00054	Bacteroides fragilis	12 Months	X128	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X12	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X130	0.0702983247371545
MS00045;MS00054	Bacteroides fragilis	12 Months	X133	3.86891960690359e-05
MS00045;MS00054	Bacteroides fragilis	12 Months	X137	0.0435976022097101
MS00045;MS00054	Bacteroides fragilis	12 Months	X150	0.0885969898435733
MS00045;MS00054	Bacteroides fragilis	12 Months	X157	0.121865133756312
MS00045;MS00054	Bacteroides fragilis	12 Months	X172	0.000930980874644671
MS00045;MS00054	Bacteroides fragilis	12 Months	X180	0.362921796897857
MS00045;MS00054	Bacteroides fragilis	12 Months	X181	0.0711890562809138
MS00045;MS00054	Bacteroides fragilis	12 Months	X184	0.000235415773780348
MS00045;MS00054	Bacteroides fragilis	12 Months	X201	0.129361580563783
MS00045;MS00054	Bacteroides fragilis	12 Months	X229	0.000308122933916981
MS00045;MS00054	Bacteroides fragilis	12 Months	X238	0.102929659840017
MS00045;MS00054	Bacteroides fragilis	12 Months	X240	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X256	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X258	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X263	0.00898203858990188
MS00045;MS00054	Bacteroides fragilis	12 Months	X265	0.094421317849994
MS00045;MS00054	Bacteroides fragilis	12 Months	X268	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X26	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X272	0.0337503768360196
MS00045;MS00054	Bacteroides fragilis	12 Months	X274	0.00167760335572946
MS00045;MS00054	Bacteroides fragilis	12 Months	X275	0.0836165792200685
MS00045;MS00054	Bacteroides fragilis	12 Months	X276	0.000303335496729818
MS00045;MS00054	Bacteroides fragilis	12 Months	X281	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X282	0.0535027388246485
MS00045;MS00054	Bacteroides fragilis	12 Months	X332	0.00602789693053315
MS00045;MS00054	Bacteroides fragilis	12 Months	X335	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X338	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X341	0.0289531061853246
MS00045;MS00054	Bacteroides fragilis	12 Months	X343	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X350	0.0015134449066507
MS00045;MS00054	Bacteroides fragilis	12 Months	X367	0.0128884923328263
MS00045;MS00054	Bacteroides fragilis	12 Months	X377	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X383	0.0393678798207743
MS00045;MS00054	Bacteroides fragilis	12 Months	X385	0.000830149694151208
MS00045;MS00054	Bacteroides fragilis	12 Months	X397	0.000391614657108046
MS00045;MS00054	Bacteroides fragilis	12 Months	X39	0.000308536504847869
MS00045;MS00054	Bacteroides fragilis	12 Months	X42	0.0108505044946249
MS00045;MS00054	Bacteroides fragilis	12 Months	X45	0.012107625748996
MS00045;MS00054	Bacteroides fragilis	12 Months	X51	0.0155263481585944
MS00045;MS00054	Bacteroides fragilis	12 Months	X521	0.0791530815627976
MS00045;MS00054	Bacteroides fragilis	12 Months	X526	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X527	0.00920111641829391
MS00045;MS00054	Bacteroides fragilis	12 Months	X536	0.000405195224348632
MS00045;MS00054	Bacteroides fragilis	12 Months	X544	0.000257691259103424
MS00045;MS00054	Bacteroides fragilis	12 Months	X549	0.000933333572948523
MS00045;MS00054	Bacteroides fragilis	12 Months	X560	0.00173429844289152
MS00045;MS00054	Bacteroides fragilis	12 Months	X565	0.069011167002286
MS00045;MS00054	Bacteroides fragilis	12 Months	X567	0.0578938130171418
MS00045;MS00054	Bacteroides fragilis	12 Months	X572	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X582	0.045726760311594
MS00045;MS00054	Bacteroides fragilis	12 Months	X585	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X587	0.0756243415337408
MS00045;MS00054	Bacteroides fragilis	12 Months	X589	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X590	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X591	0.0208671154041658
MS00045;MS00054	Bacteroides fragilis	12 Months	X599	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X608	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X615	0.0108027277870282
MS00045;MS00054	Bacteroides fragilis	12 Months	X624	0.0758899395798689
MS00045;MS00054	Bacteroides fragilis	12 Months	X633	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X637	0
MS00045;MS00054	Bacteroides fragilis	12 Months	X78	0.00704004514082428
MS00045;MS00054	Bacteroides fragilis	12 Months	X87	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X105	0.0274778326758722
MS00052	Bacteroides thetaiotaomicron	12 Months	X10	0.00587927520744695
MS00052	Bacteroides thetaiotaomicron	12 Months	X128	0.0248602976079531
MS00052	Bacteroides thetaiotaomicron	12 Months	X12	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X130	0.0747781485111314
MS00052	Bacteroides thetaiotaomicron	12 Months	X133	0.0068033067966229
MS00052	Bacteroides thetaiotaomicron	12 Months	X137	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X150	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X157	0.0824329979392767
MS00052	Bacteroides thetaiotaomicron	12 Months	X172	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X180	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X181	0.000547579760516226
MS00052	Bacteroides thetaiotaomicron	12 Months	X184	0.0016359045082103
MS00052	Bacteroides thetaiotaomicron	12 Months	X201	0.0334363667872223
MS00052	Bacteroides thetaiotaomicron	12 Months	X229	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X238	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X240	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X256	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X258	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X263	0.0108295581389631
MS00052	Bacteroides thetaiotaomicron	12 Months	X265	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X268	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X26	0
