Time,HMO,HEXOSE,SUCCINATE,ACETATE,PROPIONATE,LACTATE,FORMATE,ETHANOL,BUTYRATE,H2
0,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.2,0.4808319400638,0.0757033740601935,0.0720171805074714,0.0776899950159298,0.0784280298941166,0.0720184398576003,0.0723021144354187,0.0720170150759499,0.0804617335636291,0.0719467589702787
0.4,0.462694223678529,0.106856496514933,0.0929751104496008,0.103899851635439,0.105693409918192,0.0929833815594318,0.0936058295716258,0.092974174152287,0.113355608574837,0.0928231618754474
0.6,0.445519281470598,0.143585064179066,0.112925351312456,0.129564468981522,0.131744753607603,0.112950344844572,0.113973791598296,0.112923022339651,0.14837256572421,0.11268141059678
0.8,0.429256190787639,0.185619074340044,0.131916393409265,0.154926398188299,0.156564527038063,0.131970408232138,0.133460439015966,0.131912361336464,0.185482767754957,0.13157116109976
1,0.413862442655435,0.232515393012713,0.149994015936922,0.180031056116662,0.1801580498358,0.150090696189177,0.152112861288308,0.149988411743161,0.224564619656736,0.149539647599856
1.2,0.399278904144605,0.28374509376246,0.167201675490795,0.204923753146302,0.202547382786729,0.167355177258434,0.169973100072481,0.167195090198375,0.265414557018726,0.166631800672667
1.4,0.385387415687373,0.338431001094827,0.183580891958019,0.229743217487335,0.223768113446391,0.183805313723762,0.187080083767187,0.183574255626132,0.307784647807092,0.182890359603762
1.6,0.372111224875027,0.395448009508223,0.199171380176882,0.254643959153983,0.243864723137038,0.19948030741359,0.203470246476325,0.199165817268191,0.35146699243269,0.198355979259157
1.8,0.359408244345793,0.45376810551524,0.214011055219672,0.279739689049299,0.262886100968392,0.214417276810549,0.219177885399902,0.214007812827128,0.396324797522275,0.213067331743657
2,0.347250663198511,0.512546539921469,0.228136095079495,0.305114241765221,0.280883118751984,0.228651461066411,0.234235596155539,0.228136504679685,0.442273789977932,0.227061203101259
2.2,0.335616548354649,0.571114334860285,0.241581006093669,0.330830593675107,0.297907040270833,0.242216377349196,0.248674560678793,0.241586465802101,0.489267369534956,0.240372585299425
2.4,0.324486377292767,0.628949470870483,0.254378684861692,0.356936391840991,0.314008437268154,0.255143938919874,0.262524703306273,0.254390654912989,0.537284626045416,0.253034763727225
2.6,0.313841677404433,0.685645923810597,0.266560480458808,0.383467422227662,0.32923649965416,0.267464545199977,0.275814747817711,0.266580483163267,0.586319769944694,0.265079400426151
2.8,0.303664583440786,0.740885319592727,0.278156257535268,0.410449166818958,0.343638627759415,0.279207152379531,0.288572206823469,0.278185874595179,0.636373145836846,0.276536613261708
3,0.293937760789962,0.794413552641179,0.289194457970487,0.437897070615109,0.357260191935954,0.290399334360386,0.300823346114116,0.289235323409398,0.687444619563806,0.287435051233769
3.2,0.284644428184917,0.846023784318245,0.299702159325296,0.465816510418139,0.370144383082117,0.301067342655106,0.312593164514374,0.299755950978745,0.739529923300196,0.297801966113996
3.4,0.275768374258732,0.895545467087291,0.309705130089048,0.494203209726744,0.382332121106129,0.311236169631089,0.323905412809961,0.309773564359344,0.792619900490881,0.307663280589463
3.6,0.267293944302317,0.942837858465369,0.319227882633726,0.523044416263838,0.393862011197922,0.320929615484471,0.334782657658477,0.319312716756871,0.846702077413326,0.317043653082879
3.79999999999999,0.259206002548943,0.987786402214155,0.328293724907292,0.552320815633247,0.404770345025754,0.330170356890034,0.345246383793435,0.328396769420379,0.901763730926405,0.325966539411485
3.99999999999999,0.251489880470524,1.03030077141542,0.336924811727569,0.582008904596314,0.415091145261393,0.33898001406857,0.355317119185775,0.337047953710319,0.957795515364427,0.334454251438818
4.19999999999999,0.244131320109265,1.07031379769242,0.345142196291917,0.612083370210671,0.424856251189348,0.347379212637248,0.365014562165192,0.345287431581865,1.01479469357405,0.342528012865988
4.39999999999999,0.237116419383758,1.10778080164912,0.352965882220056,0.642518943822004,0.434095441303933,0.355387636976885,0.374357687518039,0.353135352519393,1.07276710574943,0.35020801230199
4.59999999999999,0.23043158467623,1.14267900394682,0.360414876086816,0.673291276737044,0.442836585848351,0.363024073030824,0.383364811679998,0.360610905184185,1.13172725159833,0.35751345374574
4.79999999999999,0.224063494650135,1.17500678005033,0.367507239998385,0.704376650350881,0.451105818662148,0.370306440419692,0.392053606124048,0.367732362774453,1.19169628319542,0.364462604606072
4.99999999999999,0.217999077966438,1.20478256058856,0.374260143378142,0.735750742705944,0.458927714366461,0.377251816187503,0.400441061890107,0.374517122269271,1.25269827787801,0.371072841379783
5.19999999999999,0.212225505917161,1.23204321462312,0.380689912854403,0.767387073345015,0.466325455146585,0.383876454654311,0.408543423302407,0.380981739034545,1.31475576028513,0.377360693101918
5.39999999999999,0.206730198271285,1.25684184453208,0.386812079138279,0.799255911899914,0.47332097316222,0.39019580869597,0.416376119107694,0.38714195918086,1.377885815857,0.383341882676972
5.59999999999999,0.201500837814339,1.27924508371387,0.392641420199957,0.831324182361701,0.47993506167844,0.396224556411089,0.423953717862251,0.393012751998982,1.442097947233,0.389031366194339
5.79999999999999,0.196525389906442,1.29933011393787,0.398192000796424,0.863556286022503,0.486187458439545,0.401976633787711,0.431289919779572,0.398608343604553,1.50739396042588,0.394443370326325
5.99999999999999,0.191792128534301,1.31718160111518,0.403477208958959,0.895915215210549,0.492096911302077,0.407465270674761,0.438397578459857,0.403942251352172,1.57376914811823,0.399591427902243
6.19999999999999,0.187307747888375,1.33303339528825,0.408509713521093,0.928415551945907,0.497680138181272,0.412703332738662,0.445290669124341,0.409027480808147,1.64132363814255,0.404488411747531
