MetaOTU	Species	Type	Sample	RelativeAbundance
MS00052	Bacteroides thetaiotaomicron	4 Months	X238	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X240	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X256	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X258	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X263	0.00418891897232139
MS00052	Bacteroides thetaiotaomicron	4 Months	X265	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X268	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X26	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X272	0.257040177092813
MS00052	Bacteroides thetaiotaomicron	4 Months	X274	0.00110059125995843
MS00052	Bacteroides thetaiotaomicron	4 Months	X275	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X276	0.0279904588683274
MS00052	Bacteroides thetaiotaomicron	4 Months	X281	0.0201861436073191
MS00052	Bacteroides thetaiotaomicron	4 Months	X282	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X332	0.126300908310517
MS00052	Bacteroides thetaiotaomicron	4 Months	X335	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X338	0.00268171226124329
MS00052	Bacteroides thetaiotaomicron	4 Months	X341	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X343	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X350	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X367	0.0322347752353867
MS00052	Bacteroides thetaiotaomicron	4 Months	X377	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X383	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X385	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X397	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X39	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X42	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X45	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X51	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X521	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X526	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X527	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X536	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X544	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X549	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X560	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X565	0.0322426248269665
MS00052	Bacteroides thetaiotaomicron	4 Months	X567	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X572	0.0196969346221883
MS00052	Bacteroides thetaiotaomicron	4 Months	X582	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X585	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X587	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X589	0.793001311811991
MS00052	Bacteroides thetaiotaomicron	4 Months	X590	0.0304591331412341
MS00052	Bacteroides thetaiotaomicron	4 Months	X591	0.0147262398521392
MS00052	Bacteroides thetaiotaomicron	4 Months	X599	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X608	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X615	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X624	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X633	0.00287791468102445
MS00052	Bacteroides thetaiotaomicron	4 Months	X637	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X78	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X87	0
MS00061	Bifidobacterium adolescentis	4 Months	X105	0
MS00061	Bifidobacterium adolescentis	4 Months	X10	0.0137287084014292
MS00061	Bifidobacterium adolescentis	4 Months	X128	0.0386662817414294
MS00061	Bifidobacterium adolescentis	4 Months	X12	0
MS00061	Bifidobacterium adolescentis	4 Months	X130	0
MS00061	Bifidobacterium adolescentis	4 Months	X133	0.0138802889838582
MS00061	Bifidobacterium adolescentis	4 Months	X137	0.0134507397200956
MS00061	Bifidobacterium adolescentis	4 Months	X150	0
MS00061	Bifidobacterium adolescentis	4 Months	X157	0
MS00061	Bifidobacterium adolescentis	4 Months	X172	0
MS00061	Bifidobacterium adolescentis	4 Months	X180	0
MS00061	Bifidobacterium adolescentis	4 Months	X181	0
MS00061	Bifidobacterium adolescentis	4 Months	X184	0
MS00061	Bifidobacterium adolescentis	4 Months	X201	0
MS00061	Bifidobacterium adolescentis	4 Months	X229	0.0670416743954127
MS00061	Bifidobacterium adolescentis	4 Months	X238	0
MS00061	Bifidobacterium adolescentis	4 Months	X240	0.00172247796208846
MS00061	Bifidobacterium adolescentis	4 Months	X256	9.25309190889355e-05
MS00061	Bifidobacterium adolescentis	4 Months	X258	0
MS00061	Bifidobacterium adolescentis	4 Months	X263	0.147321562334437
MS00061	Bifidobacterium adolescentis	4 Months	X265	0
MS00061	Bifidobacterium adolescentis	4 Months	X268	0.00819946507687123
MS00061	Bifidobacterium adolescentis	4 Months	X26	0.000376583128521414
MS00061	Bifidobacterium adolescentis	4 Months	X272	0.00547521737291163
MS00061	Bifidobacterium adolescentis	4 Months	X274	0.000142863449310781
MS00061	Bifidobacterium adolescentis	4 Months	X275	0
MS00061	Bifidobacterium adolescentis	4 Months	X276	0
MS00061	Bifidobacterium adolescentis	4 Months	X281	0
MS00061	Bifidobacterium adolescentis	4 Months	X282	0
MS00061	Bifidobacterium adolescentis	4 Months	X332	0.141669745089237
MS00061	Bifidobacterium adolescentis	4 Months	X335	0.0699380680230221
MS00061	Bifidobacterium adolescentis	4 Months	X338	0
MS00061	Bifidobacterium adolescentis	4 Months	X341	0
MS00061	Bifidobacterium adolescentis	4 Months	X343	0
MS00061	Bifidobacterium adolescentis	4 Months	X350	0.000893946342068867
MS00061	Bifidobacterium adolescentis	4 Months	X367	0
MS00061	Bifidobacterium adolescentis	4 Months	X377	0.00104614478232992
MS00061	Bifidobacterium adolescentis	4 Months	X383	0
MS00061	Bifidobacterium adolescentis	4 Months	X385	0
MS00061	Bifidobacterium adolescentis	4 Months	X397	0.00229829348348735
MS00061	Bifidobacterium adolescentis	4 Months	X39	0.0640821975638386
MS00061	Bifidobacterium adolescentis	4 Months	X42	0
MS00061	Bifidobacterium adolescentis	4 Months	X45	0.023307234659255
MS00061	Bifidobacterium adolescentis	4 Months	X51	0
MS00061	Bifidobacterium adolescentis	4 Months	X521	0
MS00061	Bifidobacterium adolescentis	4 Months	X526	0
MS00061	Bifidobacterium adolescentis	4 Months	X527	0
MS00061	Bifidobacterium adolescentis	4 Months	X536	0
MS00061	Bifidobacterium adolescentis	4 Months	X544	0
MS00061	Bifidobacterium adolescentis	4 Months	X549	0
MS00061	Bifidobacterium adolescentis	4 Months	X560	0
MS00061	Bifidobacterium adolescentis	4 Months	X565	0.00041434168823895
MS00061	Bifidobacterium adolescentis	4 Months	X567	0
MS00061	Bifidobacterium adolescentis	4 Months	X572	0
MS00061	Bifidobacterium adolescentis	4 Months	X582	0.0525887034243565
MS00061	Bifidobacterium adolescentis	4 Months	X585	0
MS00061	Bifidobacterium adolescentis	4 Months	X587	0
MS00061	Bifidobacterium adolescentis	4 Months	X589	3.14711896516551e-05
MS00061	Bifidobacterium adolescentis	4 Months	X590	0.035368453647143
MS00061	Bifidobacterium adolescentis	4 Months	X591	0.0695538876504558
MS00061	Bifidobacterium adolescentis	4 Months	X599	0.00480206648872952
MS00061	Bifidobacterium adolescentis	4 Months	X608	0.0493306673956304
MS00061	Bifidobacterium adolescentis	4 Months	X615	0
MS00061	Bifidobacterium adolescentis	4 Months	X624	0
MS00061	Bifidobacterium adolescentis	4 Months	X633	0
MS00061	Bifidobacterium adolescentis	4 Months	X637	0.0598438734705007
MS00061	Bifidobacterium adolescentis	4 Months	X78	0.000435640336885578
MS00061	Bifidobacterium adolescentis	4 Months	X87	0
MS00056	Bifidobacterium breve	4 Months	X105	0.57982948593794
MS00056	Bifidobacterium breve	4 Months	X10	0.229094748433983
MS00056	Bifidobacterium breve	4 Months	X128	0
MS00056	Bifidobacterium breve	4 Months	X12	0
MS00056	Bifidobacterium breve	4 Months	X130	0
MS00056	Bifidobacterium breve	4 Months	X133	0.150075560236231
MS00056	Bifidobacterium breve	4 Months	X137	0.306505558654207
MS00056	Bifidobacterium breve	4 Months	X150	0
MS00056	Bifidobacterium breve	4 Months	X157	0.0506176121811628
MS00056	Bifidobacterium breve	4 Months	X172	0
MS00056	Bifidobacterium breve	4 Months	X180	0
MS00056	Bifidobacterium breve	4 Months	X181	0.00339793126608232
MS00056	Bifidobacterium breve	4 Months	X184	0.00669329961983315
MS00056	Bifidobacterium breve	4 Months	X201	0.00272971594331006
MS00056	Bifidobacterium breve	4 Months	X229	0.205486102076786
MS00056	Bifidobacterium breve	4 Months	X238	0.158098418781474
MS00056	Bifidobacterium breve	4 Months	X240	0
MS00056	Bifidobacterium breve	4 Months	X256	0.00173753234195831
MS00056	Bifidobacterium breve	4 Months	X258	0
MS00056	Bifidobacterium breve	4 Months	X263	0
MS00056	Bifidobacterium breve	4 Months	X265	0.0508815341898098
MS00056	Bifidobacterium breve	4 Months	X268	0.13646957150239
MS00056	Bifidobacterium breve	4 Months	X26	0.00171814478276102
MS00056	Bifidobacterium breve	4 Months	X272	0
MS00056	Bifidobacterium breve	4 Months	X274	0
MS00056	Bifidobacterium breve	4 Months	X275	0.00807549588343006
MS00056	Bifidobacterium breve	4 Months	X276	0.60795519047691
MS00056	Bifidobacterium breve	4 Months	X281	0
MS00056	Bifidobacterium breve	4 Months	X282	0.00982092190213504
MS00056	Bifidobacterium breve	4 Months	X332	0
MS00056	Bifidobacterium breve	4 Months	X335	0.0021886151402971
MS00056	Bifidobacterium breve	4 Months	X338	0.000229317652185188
MS00056	Bifidobacterium breve	4 Months	X341	0.0374257735173678
MS00056	Bifidobacterium breve	4 Months	X343	0.00368225761624237
MS00056	Bifidobacterium breve	4 Months	X350	0.311499555648337
MS00056	Bifidobacterium breve	4 Months	X367	0.314724428204947
MS00056	Bifidobacterium breve	4 Months	X377	0.0927229037312611
MS00056	Bifidobacterium breve	4 Months	X383	0
MS00056	Bifidobacterium breve	4 Months	X385	0.00137921099043017
MS00056	Bifidobacterium breve	4 Months	X397	0.682098488621386
MS00056	Bifidobacterium breve	4 Months	X39	0
MS00056	Bifidobacterium breve	4 Months	X42	0.0589389932212945
MS00056	Bifidobacterium breve	4 Months	X45	0
MS00056	Bifidobacterium breve	4 Months	X51	0
MS00056	Bifidobacterium breve	4 Months	X521	0.0671637535559209
MS00056	Bifidobacterium breve	4 Months	X526	0.0006671244506528
MS00056	Bifidobacterium breve	4 Months	X527	0.000218509706285294
MS00056	Bifidobacterium breve	4 Months	X536	0
MS00056	Bifidobacterium breve	4 Months	X544	0
MS00056	Bifidobacterium breve	4 Months	X549	0
MS00056	Bifidobacterium breve	4 Months	X560	0.000731493228991191
MS00056	Bifidobacterium breve	4 Months	X565	7.43148591728116e-05
MS00056	Bifidobacterium breve	4 Months	X567	0.0244195632874586
MS00056	Bifidobacterium breve	4 Months	X572	0
MS00056	Bifidobacterium breve	4 Months	X582	0
MS00056	Bifidobacterium breve	4 Months	X585	0.134272749332536
MS00056	Bifidobacterium breve	4 Months	X587	0.0631447218226762
MS00056	Bifidobacterium breve	4 Months	X589	0.0692489833509365
MS00056	Bifidobacterium breve	4 Months	X590	0.0161695349980785
MS00056	Bifidobacterium breve	4 Months	X591	0
MS00056	Bifidobacterium breve	4 Months	X599	0
MS00056	Bifidobacterium breve	4 Months	X608	0
MS00056	Bifidobacterium breve	4 Months	X615	0.000902178910717542
MS00056	Bifidobacterium breve	4 Months	X624	0
MS00056	Bifidobacterium breve	4 Months	X633	0.000167296875428458
MS00056	Bifidobacterium breve	4 Months	X637	0.0004991792644221
MS00056	Bifidobacterium breve	4 Months	X78	0
MS00056	Bifidobacterium breve	4 Months	X87	0
MS00059	Bifidobacterium longum	4 Months	X105	0.0974099699299465
MS00059	Bifidobacterium longum	4 Months	X10	0.0215914163293323
MS00059	Bifidobacterium longum	4 Months	X128	0.020176045821152
MS00059	Bifidobacterium longum	4 Months	X12	0
MS00059	Bifidobacterium longum	4 Months	X130	0.0693262773015105
MS00059	Bifidobacterium longum	4 Months	X133	0.0512683284207997
MS00059	Bifidobacterium longum	4 Months	X137	0.0769860959629547
MS00059	Bifidobacterium longum	4 Months	X150	0.110719044252814
MS00059	Bifidobacterium longum	4 Months	X157	0.000122828343106148
MS00059	Bifidobacterium longum	4 Months	X172	0
MS00059	Bifidobacterium longum	4 Months	X180	0
MS00059	Bifidobacterium longum	4 Months	X181	0.080896619827614
MS00059	Bifidobacterium longum	4 Months	X184	0.466439745491073
MS00059	Bifidobacterium longum	4 Months	X201	0.353145993455954
MS00059	Bifidobacterium longum	4 Months	X229	0.203829571790239
MS00059	Bifidobacterium longum	4 Months	X238	0.479778915544417
MS00059	Bifidobacterium longum	4 Months	X240	0.0336983712689917
MS00059	Bifidobacterium longum	4 Months	X256	0.473491026708516
MS00059	Bifidobacterium longum	4 Months	X258	0
MS00059	Bifidobacterium longum	4 Months	X263	0.0584073510269643
MS00059	Bifidobacterium longum	4 Months	X265	0.684389448945646
MS00059	Bifidobacterium longum	4 Months	X268	0.00151793235737618
MS00059	Bifidobacterium longum	4 Months	X26	0.17337095488465
MS00059	Bifidobacterium longum	4 Months	X272	0.0142568514337926
MS00059	Bifidobacterium longum	4 Months	X274	0.0590344846380206
MS00059	Bifidobacterium longum	4 Months	X275	0.752036487596151
MS00059	Bifidobacterium longum	4 Months	X276	0.0494307176140704
MS00059	Bifidobacterium longum	4 Months	X281	0.23392268627562
MS00059	Bifidobacterium longum	4 Months	X282	0.575413823695607
MS00059	Bifidobacterium longum	4 Months	X332	0.0224661880272679
MS00059	Bifidobacterium longum	4 Months	X335	0.125611804622218
MS00059	Bifidobacterium longum	4 Months	X338	0.554707787227658
MS00059	Bifidobacterium longum	4 Months	X341	0.0108256273808872
MS00059	Bifidobacterium longum	4 Months	X343	0.707492531291324
MS00059	Bifidobacterium longum	4 Months	X350	0.0376465056133147
MS00059	Bifidobacterium longum	4 Months	X367	0.0473840746875046
MS00059	Bifidobacterium longum	4 Months	X377	0.114354958554034
MS00059	Bifidobacterium longum	4 Months	X383	0.210328750718408
MS00059	Bifidobacterium longum	4 Months	X385	0.779666894094481
MS00059	Bifidobacterium longum	4 Months	X397	0
MS00059	Bifidobacterium longum	4 Months	X39	0.0776189805739421
