103_12M	105_12M	10_12M	128_12M	12_12M	130_12M	133_12M	137_12M	150_12M	157_12M	172_12M	179_12M	180_12M	181_12M	184_12M	18_12M	195_12M	1_12M	201_12M	203_12M	224_12M	229_12M	238_12M	240_12M	241_12M	244_12M	256_12M	258_12M	263_12M	265_12M	268_12M	26_12M	272_12M	274_12M	275_12M	276_12M	281_12M	282_12M	332_12M	335_12M	338_12M	341_12M	343_12M	345_12M	350_12M	367_12M	377_12M	383_12M	385_12M	387_12M	38_12M	397_12M	39_12M	42_12M	45_12M	503_12M	504_12M	507_12M	511_12M	51_12M	521_12M	526_12M	527_12M	532_12M	536_12M	53_12M	544_12M	546_12M	549_12M	560_12M	565_12M	567_12M	570_12M	572_12M	577_12M	582_12M	585_12M	587_12M	589_12M	590_12M	591_12M	598_12M	599_12M	608_12M	615_12M	622_12M	624_12M	626_12M	633_12M	635_12M	637_12M	640_12M	70_12M	78_12M	7_12M	82_12M	87_12M	9_12M
MN00001	0.000472243170056312	6.36893139941047e-05	2.53370954796844e-05	0	0	6.18674422299046e-05	0	1.14787976843866e-05	1.42919033925091e-05	0	0.000191001378927203	0.000191208025637796	0	0	0	0	0.00233968842910055	0.000229799395867035	4.20618145734809e-05	0	0	7.14139732715786e-05	0.00128207725355075	0.000467026903910032	0	0	0	0.000172347882638825	0.000111818042366009	0.000472315585843197	3.84135632764039e-05	8.86263241643796e-05	5.19777654659616e-05	0	8.73991634288991e-05	0	0	0	1.38493767061932e-05	0	0	0	0	0	0	0	0	0	5.03946140266013e-05	0	0	0.000161631254798262	0	0	0.00021886875634959	9.4468450373215e-05	0.00140776418302314	0.00367108391067792	4.84417005718434e-05	0	0	0	0	0	0	3.38270768199788e-05	0	0.000374334781741379	4.72475040926281e-05	0.000203068125977665	4.84669198293798e-05	0.000478204095256751	0	0	0	5.1054924502259e-05	0	0	0	7.58581045394805e-05	1.5880894931182e-05	0	0.00025427018655713	0.00020587035866393	0	0	0	0	0	0	0	0.000274897612828403	0	0	0.000323233510505386	0	0	5.26391829230193e-05
MN00002	0	0	0.000304342966571214	0.000344966214824217	0.000204411799943136	0.0132431800364804	0.00012507239004457	0	7.31145952965115e-05	0	0.000153027053352566	0	0.173669694976238	0.000506463532533531	0	0	0	0	0	0	0	0	0	0	0	0.00569453400481693	0	0.00076209577999898	0.000100100060932105	0	0.000375210074720796	7.46084774455197e-05	0	0.000307787221467445	0	3.94079711296308e-05	0	0.000650270405714782	0	0	2.99623450813418e-05	0	1.90758890257519e-05	0.000287982675107883	0.128522183033338	0	4.6845423735517e-05	0.0574741636733167	0	0	0	0	0	0.0744367393696124	0	0.000176216277262376	0	0	0	0	0.0496892297115424	9.13536652330599e-05	0.035878904993975	0.00606240254572129	0	0.00024485195688159	0	0	0	0	0	0	0.0505297074402607	0	2.31450398622668e-05	0.111423651563489	0	0.000292181288823681	0	0.0783880583544497	0	0	0.000911967384277463	0	3.76203105945376e-05	0.0318560631153541	0.0966462029429038	0	0.000521019913994884	0.0054546578288683	0	0	0	0.002101967475573	0.0011935950818032	0	2.60036765964251e-05	0
MN00003	0	0.000219384283329499	0	0	0.000183690541194891	0.000686772761213553	0.00023056130272139	0.000121943786287205	0.0233043600129548	0	0.000246775712696358	0	0.0110147341281723	0.000672195003330718	0	4.71450741579656e-05	0.0199187430239118	0.000284399106676816	0	0.000710809497114228	0.00304516665545062	0	0	0	0	0	0.0182548044539055	0.00230422835632759	0	0	0	0.00055498901398365	4.12093722188415e-05	2.61390942113046e-05	0.000246568097756436	7.21609039468967e-05	5.4545698832483e-05	0.0265053892691684	0.000675093201539444	0	4.61839888289918e-05	0.000711475967273902	0.000510521343591967	3.03328384759102e-05	0.000169569613338477	0.0011423107222269	7.46841240519975e-05	0.00115699038722406	0.00122598749800392	0.000846255129711471	0.000681221600484243	0.00109132677393206	3.92193530636804e-05	0.000398982706309355	0	0.00127206234299069	0.00240188025297769	0.0122531835763128	0	0.000141963007249025	0.00671295787141897	0.014820074746493	0.000605164314738705	8.01286833149874e-05	0.000286399124929586	0.00916276809919067	3.57705196369979e-05	0.000383436980392413	1.66527244825894e-05	0.00156263355701263	0.000268416405623579	0	0.000967172121058547	0	4.85887358299447e-05	0.000773498341045138	1.7335145196927e-05	0.00127991019852675	0	0.00161337900831874	0.000748155757668934	1.8317598607706e-05	0	0	4.73261709269136e-05	0	0.00542060908620244	1.92975477666055e-05	0	0	0.000329910951455754	0.00364968147051773	0.00033934739061349	0.000336909779958095	7.71458019845603e-05	0.00129057775727467	6.89162937684908e-05	0.0181135353310077
MN00004	0	0.00204137921612216	0.00286635535240612	0.00185938596684541	0.00345895884560972	0	0.00118832519036015	0.0012633073390566	0	0.000209976389147096	0.00255944960985173	0.00598614892763152	0	0	0.00231776524567369	0.00342745310225374	0	0.00061632164848268	0	0.00689690312521273	0	0	0.000249225373088426	0	0.00276989743090115	0.00197608165302836	0.000266093014284787	0.0264057608879953	0.000227212548444249	0.052968534721243	0.0903434546435413	0.000205511352502993	0.000973770633212199	0.0003367779321501	2.70594330687619e-05	0.0226127307403581	0.0161611457158593	0.00318565121842895	0.00025305802148837	0.0721061473827504	0	0.00218181706292132	0	0.0205012583811982	0.00288924054528999	0	0.00951127016561795	0.0035320234386365	0.00186148735598952	0.000271488042113187	0.00109807004149174	0.000346119327692144	0.000772800474910786	0.00192885506397397	0.134039511333876	0.000257528961867309	0.00740595299351615	0.000114985877199336	0.000924352231047126	0.0044292459561276	0.00730993443461752	0	0	0.00269706276365677	0.00962996866844774	0.00476334343902625	0.0145727279001501	0.000824053729439996	0.000192462690324134	0.169606619353908	0	0.000445195904317342	0.000106783716269031	0	0	0.000198611569610842	0.000190227825920261	0	0.00478669781367658	0	0	0	0	0	0	0.00428209387350319	0.00280883961519257	0.00196574637377599	0.00234822392157422	0.00238540383946239	0.000363371182550781	0.00112066819058681	0.00330467811770049	0.00135715062451951	0.0173910397176642	0.00653260103391892	0.000893363438882549	2.50149337147083e-05
MN00005	0	0	0.00441956087440905	9.08433810841752e-05	0	0	0.00388127733543166	0	0	0.0900076274920684	0.00768520751801904	0.00233659761625992	0	0	0.000205631518283561	0.00112896074176871	0	0	0	0	0	0	0.00184330445528087	0	0.000175938365419976	0.000170215733838666	0	0	0	0.00701177602687445	0.0049190604377765	0	0	0	0	0.00120134755667982	0.000511331485186488	0	0.00554582797304807	0	0	0	0.067767135807218	0.0208733801745394	0.0199361922129179	0.000206008831197889	0	0.142635179192939	8.67347831541531e-05	0.0317378631219693	0	0.00839712079985835	0.000625381314974496	0	0	0.00861659804381293	0	0	0.0192309653217419	0.0066864797441439	0.00333554006589858	0	0.00861406985470337	0.0220525142125892	0.114695892857571	0	0.00125251460110393	0.000769171371551749	0	0.000283701691482295	0.0172326650130359	0	0	7.34882201746727e-05	0	0	0	0.00165086723489121	0	0	0	9.15432131553479e-05	3.95784893470845e-05	0	0.01075344483943	0.00105020575090641	0	0.00295756629469616	0	0.0942334392390949	0	0	0.000551539959390445	0	0.000315991872163201	0.00130258051041183	0	0
MN00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241711312012407	0.000419913514295275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.60127312635905e-05	0	0	0	0	0	0.164643691142313	0.146037353446694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142686842762793	0	0	0	0	0	0	0	0	0.00209661329618231	0	0	0	0	0	0	0	0.000266318039335328	0	0	0	0.108051599766387	0	0	0	0	0	0	0	0.00389727289767266	0	0	1.67548598750969e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00159575740918937	0	0.0778337416557502	0	0	0	0	2.51592500652662e-05
MN00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000129837035674288	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7941738403123e-05	0	7.12238302034159e-05	0	0	0	0	0	0	0	0.0746821561112103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107035012939367	0.0001266701653109	0	0	0	0	0	0	0	6.97321426300966e-05	0	0	0	8.60487215442599e-05	0	0.000150590430849634	0	0	4.5500775777882e-05	0	0	0.000462175230594888	0
MN00009	0	0.0839823568016503	0.000733777799989831	0	0	0.0942214316754464	0	0	0	0.0080997461062368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000734678646336115	0	0	0	0	0	0	0.000151230472811926	0.000864595096489684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000356772712310551	0	0	0	0	0	0	0.000363114389821518	0	0	0	0	0.0143052278936914	0	0.000653141205548039	0	0	0	0	0	0	2.41933942605781e-05	0	0	0	0	0	0.00096675472160281	0.0465865029498343	0	0	0	0	0.000750127867559936	0	0	0	0.000105974640700896	0	0	0	0	0	0	0	0
MN00010	0.00101844663431544	0.00861489229631311	0.000110785557057456	6.30541291441315e-05	0.00192229952432888	0.00206702038313889	0.00051345792690098	0.000231242395745771	0.0277040791214603	0.000366834313871173	0.000514095073221045	0.00944457734919425	0.00939781615416729	0.000127210197303183	0	0.000126932040210219	0.0016238089281156	0.0282526784787441	0	0.000400707409897642	0.00153391882808542	0.0025422750130535	0.000739787652968954	0	0.000218643962573665	0	0.000879774856752485	7.24201715616829e-05	0	0.000550349876814251	0.0004712286786505	0.00065923311775851	0.000238365591703322	0.000311050464040081	0.000228726287737413	0.000103320421028085	0.00340149939378922	0.00623694821219736	0.00949552557078521	0	0	0.000608524895842637	0.00566425846520778	0.000851287544868384	0.000229822615153395	0.00103171688209013	0.00044628694295444	0.00135319370650142	0.000376783022768654	0.00127324543711133	6.6384891022765e-05	1.48747937143474e-05	0.00144356347413749	0.000507113159939845	0.00238728118197981	0.000360202399405381	0.00706823037937952	0.00498001741829879	0.000304206036272378	6.10528361013168e-05	0.00263355345629622	0.000454991393294816	0.000156703322419498	0.000799984353595692	0.000111871400302954	0.00272553111067752	5.17278020166026e-05	0.00982148482574271	2.26448216049164e-05	0.000497956552712589	0	0.000972732375836287	0.0399360788633491	1.33061039484599e-05	0.000417781962987102	0.00104852947417534	0.000155633856520085	0.000562341171133305	0.000123354857453828	0	0.014059612233061	0.000115053285306758	1.92410591676323e-05	0.0107073206260184	0	0.000501988711831799	0.00226695480657213	0.000116585333958866	0	0.000145713745621855	0.000668246864879843	0.00108430105987437	0.00086477533445325	0.00139441971514344	0.000306605993289742	0.00143094165488805	0.000664422857645462	0.0162602463350553
