Time,Fece_Vol
0,1e-05
0.1,0.000565316912156796
0.2,0.00111955380207801
0.3,0.00167280849478912
0.4,0.00222514210763902
0.5,0.00277659103586931
0.6,0.00332717495212338
0.7,0.00387690226377675
0.8,0.0044257738909138
0.9,0.00497378590659849
1,0.00552093139235905
1.1,0.00606720174541357
1.2,0.00661258759958063
1.3,0.00715707947255964
1.4,0.00770066821894406
1.5,0.00824334534536117
1.6,0.00878510322805681
1.7,0.00932593526185444
1.8,0.00986583596126447
1.9,0.0104048010286303
2,0.0109428273999069
2.1,0.0114799132755198
2.2,0.0120160581414198
2.3,0.0125512627837215
2.4,0.0130855292990117
2.5,0.0136188611014517
2.6,0.0141512629270736
2.7,0.0146827408351413
2.8,0.0152133022060642
2.9,0.0157429557350807
3,0.0162717114207416
3.1,0.0168140225522636
3.2,0.0173894483837409
3.3,0.0179969347791974
3.4,0.0186354987556228
3.5,0.0193042036568822
3.6,0.0199877070115583
3.69999999999999,0.0206656129691094
3.79999999999999,0.021338169460999
3.89999999999999,0.0220056087568019
3.99999999999999,0.0226681481400255
4.09999999999999,0.0233259907070786
4.19999999999999,0.0239793262542734
4.29999999999999,0.0246283321880789
4.39999999999999,0.025273174419798
4.49999999999999,0.0259140082230615
4.59999999999999,0.0265509790433824
4.69999999999999,0.0271842232555939
4.79999999999999,0.0278138688688141
4.89999999999999,0.0284400361806991
4.99999999999999,0.0290628383838115
5.09999999999999,0.029682382127384
5.19999999999999,0.0302987680378546
5.29999999999999,0.0309120912014461
5.39999999999999,0.0315224416118662
5.49999999999999,0.0321299045859532
5.59999999999999,0.0327345611498378
5.69999999999999,0.0333364883979319
5.79999999999999,0.0339357598268133
5.89999999999999,0.0345324456458457
5.99999999999999,0.0351266130661618
6.09999999999999,0.035718326569441
6.19999999999999,0.0363076481577303
6.29999999999999,0.0368946375853933
6.39999999999999,0.0374793525741129
6.49999999999998,0.0380618490117379
6.59999999999998,0.0386566258525795
6.69999999999998,0.0392832898274749
6.79999999999998,0.039940839688974
6.89999999999998,0.040628314208242
6.99999999999998,0.0413447896207871
7.09999999999998,0.0420749392880372
7.19999999999998,0.0427983947897603
7.29999999999998,0.0435154344983721
7.39999999999998,0.0442263205089721
7.49999999999998,0.0449312992630499
7.59999999999998,0.045630602270631
7.69999999999998,0.0463244469228024
7.79999999999998,0.047013037342043
7.89999999999998,0.0476965652357141
7.99999999999998,0.0483752107309417
8.09999999999998,0.0490491431779674
8.19999999999998,0.0497185219149251
8.29999999999998,0.000331944576612779
8.39999999999998,0.000992657431692716
8.49999999999999,0.00164924153584577
8.59999999999999,0.0023018229865721
8.69999999999999,0.00295052106848513
8.79999999999999,0.00359544877654324
8.89999999999999,0.00423671330525494
8.99999999999999,0.00487441650605858
9.09999999999999,0.00550865531497587
9.2,0.00613952215250342
9.3,0.00676710529755343
9.4,0.00739148923709285
9.5,0.00801275499296603
9.6,0.00863098042722194
9.7,0.00924624052710621
9.8,0.00985860767072185
9.90000000000001,0.0104681518742123
10,0.0110749410211778
10.1,0.0116934852231789
10.2,0.0123433984724542
10.3,0.0130236846764724
10.4,0.0137333875465946
10.5,0.0144715883181068
10.6,0.015222966319485
10.7,0.0159671635575436
10.8,0.016704469795019
10.9,0.0174351581425557
11,0.0181594857835507
11.1,0.0188776947423408
11.2,0.0195900127136954
11.3,0.0202966539159733
11.4,0.0209978199418395
11.5,0.0216937005894133
11.6,0.0223844746632631
11.7,0.0230703107392348
11.8,0.0237513678901865
11.9,0.0244277963717345
12,0.0250997382683936
12.1,0.025767328101281
12.2,0.0264306933989856
12.3,0.0270899552334243
12.4,0.0277452287225729
12.5,0.028396623501936
12.6,0.0290442441665357
12.7,0.0296881906850816
12.8,0.0303285587878455
12.9,0.0309654403296146
13,0.0315989236289455
13.1000000000001,0.032229093784789
13.2000000000001,0.0328560329714085
13.3000000000001,0.0334798207123772
13.4000000000001,0.0341005341343085
13.5000000000001,0.0347182482008604
13.6000000000001,0.0353474795526519
13.7000000000001,0.0360078460862163
13.8000000000001,0.0366983550903996
13.9000000000001,0.0374180536854624
14.0000000000001,0.0381660263071564
14.1000000000001,0.0389269555221819
14.2000000000001,0.0396804880403518
14.3000000000001,0.0404269183856565
14.4000000000001,0.0411665240308572
14.5000000000001,0.0418995662467304
14.6000000000001,0.0426262909501176
14.7000000000001,0.0433469295858562
14.8000000000001,0.0440617000155812
14.9000000000001,0.0447708073939748
15.0000000000001,0.0454744450194718
15.1000000000001,0.0461727951513649
15.2000000000001,0.046866029788804
15.3000000000001,0.0475543114096432
15.4000000000001,0.0482377936687168
15.5000000000001,0.0489166220561603
15.6000000000001,0.049590934517014
15.7000000000001,0.0085159294953365
15.8000000000001,0.000832610126961087
15.9000000000001,0.00149413555346111
16.0000000000001,0.00215163251090619
16.1000000000001,0.00280520927318992
16.2000000000001,0.00345496956642927
16.3000000000001,0.00410101296342338
16.4000000000001,0.00474343525167433
16.5000000000001,0.00538232877599882
16.6000000000001,0.00601778275662468
16.7000000000001,0.00664988358354398
16.8000000000001,0.00727871508778765
16.9000000000001,0.00790435879019889
17.0000000000001,0.00852689412821575
17.1000000000001,0.00916084167236783
17.2000000000001,0.00982582061681248
17.3000000000001,0.0105208396631707
17.4000000000001,0.0112449476153659
17.5000000000001,0.0119972303974045
17.6000000000001,0.0127623718460787
17.7000000000001,0.0135200203378768
17.8000000000001,0.0142704718515645
17.9000000000001,0.0150140049456113
18.0000000000001,0.0157508817144712
18.1000000000001,0.0164813487189922
18.2000000000001,0.0172056379329537
